case,cores,winner,baseline_makespan,winner_makespan,strict_improvement,official_calls,candidate_cache_hits,failures
case_001,2,baseline,116868,116868,False,0,0,0
case_001,3,mapping_locality_one_move,97000,95836,True,1,0,0
case_001,4,baseline,58984,58984,False,0,0,0
case_001,5,baseline,47502,47502,False,0,0,0
case_002,2,baseline,131397,131397,False,1,0,0
case_002,3,baseline,98390,98390,False,1,0,0
case_002,4,mapping_locality_one_move,82998,82626,True,1,0,0
case_002,5,baseline,66241,66241,False,2,0,0
case_003,2,mapping_locality_one_move,387087,377408,True,1,0,0
case_003,3,mapping_locality_one_move,298682,298678,True,1,0,0
case_003,4,baseline,282812,282812,False,1,0,0
case_003,5,mapping_balanced_one_move,249959,248604,True,2,0,0
case_004,2,baseline,206499,206499,False,1,0,0
case_004,3,baseline,131643,131643,False,1,0,0
case_004,4,mapping_locality_one_move,107944,107889,True,1,0,0
case_004,5,baseline,87834,87834,False,1,0,0
case_005,2,baseline,53397,53397,False,1,0,0
case_005,3,baseline,43655,43655,False,1,0,0
case_005,4,mapping_locality_one_move,39285,38972,True,1,0,0
case_005,5,mapping_locality_one_move,39285,38972,True,1,0,0
case_006,2,baseline,45613,45613,False,1,0,0
case_006,3,baseline,42640,42640,False,1,0,0
case_006,4,baseline,42640,42640,False,1,0,0
case_006,5,mapping_locality_one_move,36101,36075,True,1,0,0
case_007,2,mapping_locality_one_move,618614,557898,True,1,0,0
case_007,3,mapping_locality_one_move,424478,424478,False,1,0,0
case_007,4,mapping_locality_one_move,326138,326138,False,1,0,0
case_007,5,baseline,203834,203834,False,0,0,0
case_008,2,baseline,242226,242226,False,0,0,0
case_008,3,baseline,163359,163359,False,0,0,0
case_008,4,baseline,123060,123060,False,0,0,0
case_008,5,baseline,111071,111071,False,0,0,0
case_009,2,mapping_locality_one_move,102725,102019,True,1,0,0
case_009,3,baseline,87292,87292,False,1,0,0
case_009,4,baseline,85821,85821,False,1,0,0
case_009,5,baseline,81351,81351,False,1,0,0
case_010,2,baseline,46462,46462,False,1,0,0
case_010,3,baseline,38633,38633,False,1,0,0
case_010,4,baseline,38905,38905,False,1,0,0
case_010,5,mapping_locality_one_move,37143,34394,True,1,0,0
case_011,2,baseline,92646,92646,False,1,0,0
case_011,3,baseline,79286,79286,False,0,0,0
case_011,4,baseline,46880,46880,False,1,0,0
case_011,5,baseline,46880,46880,False,1,0,0
case_012,2,baseline,33084,33084,False,1,0,0
case_012,3,baseline,24277,24277,False,1,0,0
case_012,4,mapping_locality_one_move,24447,23486,True,1,0,0
case_012,5,mapping_locality_one_move,24447,23486,True,1,0,0
case_013,2,baseline,165065,165065,False,0,0,0
case_013,3,baseline,89238,89238,False,0,0,0
case_013,4,baseline,83671,83671,False,0,0,0
case_013,5,baseline,66721,66721,False,0,0,0
case_014,2,baseline,11585088,11585088,False,0,0,0
case_014,3,baseline,8522520,8522520,False,0,0,0
case_014,4,mapping_locality_one_move,7298409,7278749,True,1,0,0
case_014,5,baseline,6322404,6322404,False,1,0,0
case_015,2,baseline,101503,101503,False,1,0,0
case_015,3,baseline,77499,77499,False,1,0,0
case_015,4,baseline,64234,64234,False,1,0,0
