case,cores,plan_sha256,graph_sha256,no_l2_source,same_core_speedup,no_l2_makespan,no_l2_added_copy_bytes,no_l2_scheduled_copy_bytes,no_l2_spill_added_copy_bytes,no_l2_partition_added_copy_bytes,no_l2_cross_task_traffic_bytes,no_l2_cross_core_transfer_count,no_l2_copy_in_hits,no_l2_copy_in_misses,no_l2_cache_hit_bytes,no_l2_cache_miss_bytes,no_l2_cache_hit_rate_bytes,l2_makespan,l2_added_copy_bytes,l2_scheduled_copy_bytes,l2_spill_added_copy_bytes,l2_partition_added_copy_bytes,l2_cross_task_traffic_bytes,l2_cross_core_transfer_count,l2_copy_in_hits,l2_copy_in_misses,l2_cache_hit_bytes,l2_cache_miss_bytes,l2_cache_hit_rate_bytes
case_001,1,d5753ab9908d0b6f0e08f468483eb9df898272d3f675fa9253ec80f9a325a92e,a634cd1151c0e918dd3a143eba421b88907f7f0334bfe6a5ca0412342307f09f,stage1_verified_reuse,1.0,233110,0,1639552,0,0,0,0,,,,,,233110,0,1639552,0,0,0,0,0,201,0,820352,0.0
case_001,2,5d187370156683aa1cb7e2eab372f293b6089ee4283bade0e99a6e0115066503,a634cd1151c0e918dd3a143eba421b88907f7f0334bfe6a5ca0412342307f09f,official_recheck,1.0,116868,1152,1640704,0,1152,0,0,,,,,,116868,1152,1640704,0,1152,0,0,0,202,0,821504,0.0
case_001,3,adb1211004434e31feb212811dd0c5a9b82a036f846bef0bbe0fb5c4ad60bebb,a634cd1151c0e918dd3a143eba421b88907f7f0334bfe6a5ca0412342307f09f,official_recheck,1.0,97000,88320,1727872,0,88320,28672,7,,,,,,97000,88320,1727872,0,88320,28672,7,7,210,28672,851328,0.032581818181818184
case_001,4,d9f98b3190d6e10f73f1f960040c24d726f91097a241257a4b774b675a5afa70,a634cd1151c0e918dd3a143eba421b88907f7f0334bfe6a5ca0412342307f09f,official_recheck,1.0,58984,3456,1643008,0,3456,0,0,,,,,,58984,3456,1643008,0,3456,0,0,0,204,0,823808,0.0
case_001,5,ff881c15d5e1cdc1f561963490b38b8ce2bd4027e200286536c9ee4b98fb4a65,a634cd1151c0e918dd3a143eba421b88907f7f0334bfe6a5ca0412342307f09f,official_recheck,1.0,47502,4608,1644160,0,4608,0,0,,,,,,47502,4608,1644160,0,4608,0,0,0,205,0,824960,0.0
case_002,1,dddf63d4ee08a357e8b9541eeccd32b08633fec4729541de8e48c5ce1f422907,578fceeb9f66a3c083b9f27d8464cf75c1e7602cbc7290920c02aa1aef7ca352,stage1_verified_reuse,1.0,261945,0,1224192,0,0,0,0,,,,,,261945,0,1224192,0,0,0,0,0,398,0,1222656,0.0
case_002,2,90bb1313339eccc690fcd5714d3353e14de5a7696e1534128aac92a51697ba86,578fceeb9f66a3c083b9f27d8464cf75c1e7602cbc7290920c02aa1aef7ca352,stage1_verified_reuse,1.0007534418594033,131496,3472896,4697088,635904,2836992,960000,625,,,,,,131397,3472896,4697088,635904,2836992,960000,625,148,1212,681984,3053568,0.1825657894736842
case_002,3,31e52e15421b5388021f7d7d7e025635964ee51826a35cb702d3c31d157d2866,578fceeb9f66a3c083b9f27d8464cf75c1e7602cbc7290920c02aa1aef7ca352,stage1_verified_reuse,1.0626791340583392,104557,4414464,5638656,0,4414464,1290240,840,,,,,,98390,4414464,5638656,0,4414464,1290240,840,199,1437,916992,3429888,0.2109540636042403
case_002,4,3a815d396e7386dd146f21b72544d5a3700406dbe4da2ed32bfbc88392ec31ed,578fceeb9f66a3c083b9f27d8464cf75c1e7602cbc7290920c02aa1aef7ca352,stage1_verified_reuse,1.0,82998,219648,1443840,0,219648,84480,55,,,,,,82998,219648,1443840,0,219648,84480,55,11,453,50688,1307136,0.03733031674208145
case_002,5,7134457e6510824eaa147916e5426ab4f2ee9af2af0f95cf80aae2d3c4fef6cc,578fceeb9f66a3c083b9f27d8464cf75c1e7602cbc7290920c02aa1aef7ca352,stage1_verified_reuse,1.0,66241,228864,1453056,0,228864,98304,64,,,,,,66241,228864,1453056,0,228864,98304,64,7,462,32256,1320960,0.02383654937570942
case_003,1,59e61548feaac7f30e65f6e04ca4e46b9086de91c1484308305fc0f77f4d4eae,2c80acfd37edcf811ce76b7e7b1f7194c706bd4d4aa6449e6a19e9eac1028ced,stage1_verified_reuse,1.0,602212,0,1284264,0,0,0,0,,,,,,602212,0,1284264,0,0,0,0,0,198,0,1284230,0.0
case_003,2,81907cb408bdace2ff248a3afd459d42d3160ad692c5ce8e1b9ff30cb4402e03,2c80acfd37edcf811ce76b7e7b1f7194c706bd4d4aa6449e6a19e9eac1028ced,stage1_verified_reuse,1.0010690944126293,388594,1862376,3146640,0,1862376,724338,949,,,,,,388179,1862376,3146640,0,1862376,724338,949,56,1148,409604,2012664,0.1690993729843271
case_003,3,b4181f8f66d508a46da2880f6070b582ad6b4e8cf8615c3013b7576e143e91c8,2c80acfd37edcf811ce76b7e7b1f7194c706bd4d4aa6449e6a19e9eac1028ced,stage1_verified_reuse,1.0014530504014303,299116,2730816,4015080,0,2730816,1022364,1264,,,,,,298682,2730816,4015080,0,2730816,1022364,1264,189,1371,783496,2209186,0.2618039604608843
case_003,4,536b41d356209ffde30f91036674e0c0fae901ef79171ad41e19d7b8453631f4,2c80acfd37edcf811ce76b7e7b1f7194c706bd4d4aa6449e6a19e9eac1028ced,stage1_verified_reuse,1.0091604721573106,286318,3410168,4694432,0,3410168,1181814,1417,,,,,,283719,3410168,4694432,0,3410168,1181814,1417,309,1456,1070860,2441724,0.3048638836822123
case_003,5,5c8a7079fcd12825c100e6acab78efff8c62fe40878207af48059e9128c2dac1,2c80acfd37edcf811ce76b7e7b1f7194c706bd4d4aa6449e6a19e9eac1028ced,stage1_verified_reuse,1.0117546364621703,252968,4152832,5437096,0,4152832,1354488,1674,,,,,,250029,4152832,5437096,0,4152832,1354488,1674,421,1642,1599888,2482686,0.39188218021277754
case_004,1,2be095fa21b5a684c0942382e4142aacda3287bbe85f3ede09ab7a5f720f5245,3e01adde3c4ad143ab3d7faabcf36d849f26b5428e7c8446a7e9f89345a55faa,stage1_verified_reuse,1.0,392357,0,792576,0,0,0,0,,,,,,392357,0,792576,0,0,0,0,0,114,0,451584,0.0
case_004,2,153efedc0481ace780237a398af087e89467a9caa35bb18429ab91d7799f258b,3e01adde3c4ad143ab3d7faabcf36d849f26b5428e7c8446a7e9f89345a55faa,stage1_verified_reuse,1.0131748538861367,216172,2909184,3701760,995328,1913856,768000,139,,,,,,213361,2909184,3701760,995328,1913856,768000,139,58,418,211968,1944576,0.09829059829059829
case_004,3,f6f1db5950bf65b3b0192fd002fe999a00e76b8035899cab3429d3ce94b09d4e,3e01adde3c4ad143ab3d7faabcf36d849f26b5428e7c8446a7e9f89345a55faa,stage1_verified_reuse,1.0,143994,2350080,3142656,2128896,221184,0,0,,,,,,143994,2350080,3142656,2128896,221184,0,0,0,354,0,1861632,0.0
case_004,4,69c434d6e8615b7209d08951fc7c987b18e03aef48b0a325161c03c2d3e3f20f,3e01adde3c4ad143ab3d7faabcf36d849f26b5428e7c8446a7e9f89345a55faa,stage1_verified_reuse,1.0170072276255913,113976,3446784,4239360,196608,3250176,1277952,222,,,,,,112070,3446784,4239360,196608,3250176,1277952,222,33,490,202752,2319360,0.08038976857490865
case_004,5,c1a364a4a28a8184781c5258eabee020929416cb0071c1e5fa284f4c30261158,3e01adde3c4ad143ab3d7faabcf36d849f26b5428e7c8446a7e9f89345a55faa,stage1_verified_reuse,1.0310652892303522,98907,4343808,5136384,73728,4270080,1643520,290,,,,,,95927,4343808,5136384,73728,4270080,1643520,290,51,569,359424,2755584,0.11538461538461539
case_005,1,211f957dba459390e4ce523f4c2fef4afd01dd3b8380d80aabdd3d6e313d3a13,c2b378c882a3039e3d66bac6cbcba39317107339b6f38d5bce1b09379839799f,stage1_verified_reuse,1.0,95618,0,333414,0,0,0,0,,,,,,95618,0,333414,0,0,0,0,0,89,0,318822,0.0
case_005,2,0bc1229d27f960c7b32b1aef068c522fe1efba4c1a8bef9db01419446685db0d,c2b378c882a3039e3d66bac6cbcba39317107339b6f38d5bce1b09379839799f,stage1_verified_reuse,1.0007265329845976,55096,900134,1233548,0,900134,396640,450,,,,,,55056,900134,1233548,0,900134,396640,450,32,540,104550,717766,0.12714090446981452
