case,cores,baseline_l2_makespan,winner_l2_makespan,winner,strict_improvement,l2_ordering_speedup,official_calls,candidate_cache_hits,generation_failures,evaluation_failures
case_001,2,116868,116868,baseline,False,1.0,0,0,0,0
case_001,3,97000,97000,baseline,False,1.0,1,0,0,0
case_001,4,58984,58984,baseline,False,1.0,0,0,0,0
case_001,5,47502,47502,baseline,False,1.0,0,0,0,0
case_002,2,131397,131397,baseline,False,1.0,2,0,0,0
case_002,3,98390,98390,baseline,False,1.0,2,0,0,0
case_002,4,82998,82998,baseline,False,1.0,1,0,0,0
case_002,5,66241,66241,balanced_window,False,1.0,2,0,0,0
case_003,2,388179,387087,reuse_window,True,1.0028210712320487,1,0,0,0
case_003,3,298682,298682,baseline,False,1.0,2,0,0,0
case_003,4,283719,282812,balanced_window,True,1.0032070774931756,2,0,0,0
case_003,5,250029,249959,reuse_window,True,1.000280045927532,2,0,0,0
case_004,2,213361,206499,balanced_window,True,1.0332301851340684,2,0,0,0
case_004,3,143994,131643,reuse_window,True,1.0938219274857,2,0,0,0
case_004,4,112070,107944,reuse_window,True,1.038223523308382,2,0,0,0
case_004,5,95927,87834,reuse_window,True,1.0921397181046064,2,0,0,0
case_005,2,55056,53397,reuse_window,True,1.0310691611888307,2,0,0,0
case_005,3,44861,43655,reuse_window,True,1.0276257015233077,2,0,0,0
case_005,4,39285,39285,baseline,False,1.0,2,0,0,0
case_005,5,39285,39285,baseline,False,1.0,2,0,0,0
case_006,2,45613,45613,baseline,False,1.0,1,0,0,0
case_006,3,42640,42640,baseline,False,1.0,2,0,0,0
case_006,4,42640,42640,baseline,False,1.0,2,0,0,0
case_006,5,36101,36101,baseline,False,1.0,0,0,0,0
case_007,2,618914,618614,reuse_window,True,1.0004849550769948,1,0,0,0
case_007,3,425650,424478,reuse_window,True,1.002761038263467,1,0,0,0
case_007,4,326138,326138,baseline,False,1.0,1,0,0,0
case_007,5,203834,203834,baseline,False,1.0,0,0,0,0
case_008,2,242226,242226,baseline,False,1.0,0,0,0,0
case_008,3,163359,163359,baseline,False,1.0,0,0,0,0
case_008,4,123060,123060,baseline,False,1.0,0,0,0,0
case_008,5,111071,111071,baseline,False,1.0,0,0,0,0
case_009,2,102725,102725,balanced_window,False,1.0,2,0,0,0
case_009,3,87292,87292,baseline,False,1.0,2,0,0,0
case_009,4,85821,85821,baseline,False,1.0,2,0,0,0
case_009,5,81351,81351,baseline,False,1.0,2,0,0,0
case_010,2,53794,46462,reuse_window,True,1.1578063794068272,1,0,0,0
case_010,3,40646,38633,reuse_window,True,1.0521057127326379,1,0,0,0
case_010,4,38905,38905,baseline,False,1.0,0,0,0,0
case_010,5,37143,37143,baseline,False,1.0,0,0,0,0
case_011,2,92646,92646,baseline,False,1.0,0,0,0,0
case_011,3,79286,79286,balanced_window,False,1.0,2,0,0,0
case_011,4,46880,46880,baseline,False,1.0,0,0,0,0
case_011,5,46880,46880,baseline,False,1.0,0,0,0,0
case_012,2,33084,33084,baseline,False,1.0,2,0,0,0
case_012,3,24277,24277,baseline,False,1.0,1,0,0,0
case_012,4,24447,24447,baseline,False,1.0,1,0,0,0
case_012,5,24447,24447,baseline,False,1.0,1,0,0,0
case_013,2,165065,165065,baseline,False,1.0,1,0,0,0
case_013,3,89238,89238,baseline,False,1.0,0,0,0,0
case_013,4,83671,83671,balanced_window,False,1.0,2,0,0,0
case_013,5,66721,66721,baseline,False,1.0,1,0,0,0
case_014,2,11585088,11585088,baseline,False,1.0,1,0,0,0
case_014,3,8549906,8522520,reuse_window,True,1.0032133688157963,2,0,0,0
case_014,4,7298409,7298409,baseline,False,1.0,1,0,0,0
case_014,5,6507002,6322404,reuse_window,True,1.0291974381896507,1,0,0,0
case_015,2,101503,101503,baseline,False,1.0,1,0,0,0
case_015,3,79841,77499,reuse_window,True,1.0302197447709003,1,0,0,0
case_015,4,64234,64234,baseline,False,1.0,1,0,0,0
case_015,5,57770,57770,baseline,False,1.0,2,0,0,0
case_016,2,7715523,7715523,baseline,False,1.0,0,0,0,0
case_016,3,7715523,7715523,baseline,False,1.0,0,0,0,0
case_016,4,7715523,7715523,baseline,False,1.0,0,0,0,0
case_016,5,7715523,7715523,baseline,False,1.0,0,0,0,0
case_017,2,86701,84713,balanced_window,True,1.023467472524878,2,0,0,0
case_017,3,63392,63386,balanced_window,True,1.0000946581264,2,0,0,0
case_017,4,59221,58769,balanced_window,True,1.0076911296772109,2,0,0,0
case_017,5,60625,60625,baseline,False,1.0,1,0,0,0
case_018,2,582773,582773,baseline,False,1.0,1,0,0,0
case_018,3,419178,419178,baseline,False,1.0,1,0,0,0
case_018,4,349052,345022,reuse_window,True,1.0116804145822584,1,0,0,0
case_018,5,286107,279412,reuse_window,True,1.0239610324538675,2,0,0,0
