case,cores,status,winner,t_i_1,t_i_k,speedup_t1_over_tk,added_copy_bytes,unique_plans,official_evaluations,cache_hits,failed_candidates,run_disposition,actual_wall_time_seconds,cold_cache_estimated_wall_time_seconds,peak_worker_rss_bytes
case_001,2,success,b0,233110,118572,1.965978477212158,8064,3,3,0,,adopted_locked_development_manifest,0.4379217000000608,0.4379217000000608,
case_001,3,success,b1,233110,99499,2.342837616458457,147840,4,4,0,,adopted_locked_development_manifest,0.5671575000001212,0.5671575000001212,
case_001,4,success,b0,233110,61884,3.766886432680499,115584,4,0,4,,adopted_locked_development_manifest,0.09421169999995982,1.3379597999942234,
case_001,5,success,b0,233110,50628,4.604369123805009,21888,3,3,0,,adopted_locked_development_manifest,0.4556536000000051,0.4556536000000051,
case_002,2,success,b2a_w4,261945,153541,1.7060264033710866,4584960,6,6,0,,executed,6.562337709590793,6.562337709590793,
case_002,3,success,b1,261945,112113,2.3364373444649593,205824,6,6,0,,executed,6.769809035584331,6.769809035584331,
case_002,4,success,b1,261945,85390,3.067630870125307,281088,6,6,0,,executed,6.922080837190151,6.922080837190151,
case_002,5,success,b1,261945,69680,3.759256601607348,264192,6,6,0,,executed,6.868034532293677,6.868034532293677,
case_003,2,success,b2a_w16,602212,407386,1.4782344017712932,4211938,6,6,0,,executed,96.50779460184276,96.50779460184276,234934272
case_003,3,success,b2a_w16,602212,330665,1.8212148246714954,5083146,6,6,0,,executed,94.4800338447094,94.4800338447094,235786240
case_003,4,success,b2a_w16,602212,309465,1.9459777357697963,5901106,6,6,0,,executed,92.18257922120392,92.18257922120392,243056640
case_003,5,success,b2a_w16,602212,293180,2.054069172522,6110028,6,6,0,,executed,90.72905180417001,90.72905180417001,239161344
case_004,2,success,b1,392357,249175,1.5746242600581921,2165760,5,5,0,,executed,1.942971631884575,1.942971631884575,
case_004,3,success,b1,392357,173560,2.2606418529615118,2439168,5,5,0,,executed,1.872241212055087,1.872241212055087,
case_004,4,success,b1,392357,139406,2.814491485301924,2715648,5,5,0,,executed,2.0142906922847033,2.0142906922847033,
case_004,5,success,b1,392357,116154,3.3779034729755324,3072000,5,5,0,,executed,2.1310169864445925,2.1310169864445925,
case_005,2,success,b2a_w16,95618,72314,1.3222612495505712,2360386,6,6,0,,executed,12.446273438632488,12.446273438632488,
case_005,3,success,b2a_w16,95618,65628,1.456969586152252,2496356,6,6,0,,executed,12.112871708348393,12.112871708348393,
case_005,4,success,b2a_w8,95618,62536,1.5290072917999233,1758192,6,6,0,,executed,12.380442783236504,12.380442783236504,
case_005,5,success,b2a_w8,95618,61582,1.5526939690169206,1802168,6,6,0,,executed,12.363160725682974,12.363160725682974,
case_006,2,success,b2a_w4,82837,54493,1.52014020149377,2033768,6,6,0,,executed,1.7350287530571222,1.7350287530571222,
case_006,3,success,b2a_w4,82837,53096,1.5601363567877053,2066536,6,6,0,,executed,1.8374821729958057,1.8374821729958057,
case_006,4,success,b2a_w4,82837,54589,1.517466888933668,2082920,6,6,0,,executed,1.9753672201186419,1.9753672201186419,
case_006,5,success,b1,82837,41337,2.0039431985872223,849150,6,6,0,,executed,2.0852641984820366,2.0852641984820366,
case_007,2,success,b1,1012562,620166,1.6327273665437962,4403712,5,5,0,,executed,22.23651915974915,22.23651915974915,154173440
case_007,3,success,b1,1012562,429420,2.357975874435285,4486656,5,5,0,,executed,18.35540765337646,18.35540765337646,170209280
case_007,4,success,b1,1012562,328001,3.08706985649434,4580352,5,5,0,,executed,21.410962212830782,21.410962212830782,163434496
case_007,5,success,b0,1012562,208922,4.846603038454543,671232,5,5,0,,executed,17.780368680134416,17.780368680134416,177766400
case_008,2,success,b0,487605,244924,1.9908420571279255,147456,5,5,0,,executed,2.3746692202985287,2.3746692202985287,
case_008,3,success,b0,487605,166440,2.929614275414564,0,4,4,0,,executed,2.088676456362009,2.088676456362009,
case_008,4,success,b0,487605,126466,3.8556212737020226,442368,5,5,0,,executed,2.4233093187212944,2.4233093187212944,
