case,cores,makespan_cycles,added_copy_bytes,speedup_t1_over_tk,selected_plan,reported_value_kind,officially_measured
case_001,1,233110,0,1.0,single_core_baseline,officially_measured_original,True
case_001,2,118572,8064,1.965978477212158,b0,officially_measured_original,True
case_001,3,99499,147840,2.342837616458457,b1,officially_measured_after_fallback,True
case_001,4,61884,115584,3.766886432680499,b0,officially_measured_after_fallback,True
case_001,5,50628,21888,4.604369123805009,b0,officially_measured_after_fallback,True
case_002,1,261945,0,1.0,single_core_baseline,officially_measured_original,True
case_002,2,153541,4584960,1.7060264033710866,b2a_w4,officially_measured_original,True
case_002,3,112113,205824,2.3364373444649598,b1,officially_measured_after_fallback,True
case_002,4,85390,281088,3.067630870125307,b1,officially_measured_after_fallback,True
case_002,5,69680,264192,3.759256601607348,b1,officially_measured_after_fallback,True
case_003,1,602212,0,1.0,single_core_baseline,officially_measured_original,True
case_003,2,407386,4211938,1.4782344017712932,b2a_w16,officially_measured_original,True
case_003,3,330665,5083146,1.8212148246714956,b2a_w16,officially_measured_after_fallback,True
case_003,4,309465,5901106,1.9459777357697965,b2a_w16,officially_measured_after_fallback,True
case_003,5,293180,6110028,2.054069172522,b2a_w16,officially_measured_after_fallback,True
case_004,1,392357,0,1.0,single_core_baseline,officially_measured_original,True
case_004,2,249175,2165760,1.574624260058192,b1,officially_measured_original,True
case_004,3,173560,2439168,2.260641852961512,b1,officially_measured_after_fallback,True
case_004,4,139406,2715648,2.814491485301924,b1,officially_measured_after_fallback,True
case_004,5,116154,3072000,3.3779034729755324,b1,officially_measured_after_fallback,True
case_005,1,95618,0,1.0,single_core_baseline,officially_measured_original,True
case_005,2,72314,2360386,1.3222612495505712,b2a_w16,officially_measured_original,True
case_005,3,65628,2496356,1.456969586152252,b2a_w16,officially_measured_after_fallback,True
case_005,4,62536,1758192,1.5290072917999231,b2a_w8,officially_measured_after_fallback,True
case_005,5,61582,1802168,1.5526939690169206,b2a_w8,officially_measured_after_fallback,True
case_006,1,82837,16400,1.0,single_core_baseline,officially_measured_original,True
case_006,2,54493,2033768,1.52014020149377,b2a_w4,officially_measured_original,True
case_006,3,53096,2066536,1.5601363567877051,b2a_w4,officially_measured_after_fallback,True
case_006,4,53096,2066536,1.5601363567877051,inherit_k3,officially_measured_after_fallback,True
case_006,5,41337,849150,2.0039431985872223,b1,officially_measured_after_fallback,True
case_007,1,1012562,0,1.0,single_core_baseline,officially_measured_original,True
case_007,2,620166,4403712,1.6327273665437962,b1,officially_measured_original,True
case_007,3,429420,4486656,2.357975874435285,b1,officially_measured_after_fallback,True
case_007,4,328001,4580352,3.08706985649434,b1,officially_measured_after_fallback,True
