case,cores,source_cores,case_core_label,old_makespan,final_makespan,makespan_reduction_cycles,makespan_reduction_pct,old_added_copy_bytes,final_added_copy_bytes,added_copy_reduction_bytes,added_copy_reduction_mib,final_winner,officially_measured
case_044,5,2,case_044 / 5核,154407,87589,66818,43.27394483410726,4438112,2915104,1523008,1.45245361328125,inherit_k2,True
case_058,4,3,case_058 / 4核,2527859,1529236,998623,39.504695475499226,119070720,34037760,85032960,81.09375,inherit_k3,True
case_044,4,2,case_044 / 4核,133879,87589,46290,34.57599772929287,6636704,2915104,3721600,3.5491943359375,inherit_k2,True
case_033,5,4,case_033 / 5核,821139,538947,282192,34.365923430746804,29562660,10082308,19480352,18.577911376953125,inherit_k4,True
case_059,5,4,case_059 / 5核,267515,187820,79695,29.790852849372932,12582912,5406720,7176192,6.84375,inherit_k4,True
case_011,5,4,case_011 / 5核,69119,49484,19635,28.407529044112326,3145728,1622016,1523712,1.453125,inherit_k4,True
case_080,4,3,case_080 / 4核,157534,119704,37830,24.013863673873576,6930432,4263936,2666496,2.54296875,inherit_k3,True
case_044,3,2,case_044 / 3核,105381,87589,17792,16.883498922955752,4775904,2915104,1860800,1.77459716796875,inherit_k2,True
case_032,5,4,case_032 / 5核,25085,21007,4078,16.256727127765597,434434,399580,34854,0.03323936462402344,inherit_k4,True
case_079,5,4,case_079 / 5核,9147564,7723180,1424384,15.571183759960576,143568896,35672064,107896832,102.8984375,inherit_k4,True
case_090,5,4,case_090 / 5核,472199,400988,71211,15.080718087077694,20229888,15932928,4296960,4.097900390625,inherit_k4,True
case_080,5,3,case_080 / 5核,137953,119704,18249,13.22841837437388,5681152,4263936,1417216,1.3515625,inherit_k3,True
case_097,5,4,case_097 / 5核,2917550,2583836,333714,11.438158729070624,91226112,14483456,76742656,73.1875,inherit_k4,True
case_029,5,3,case_029 / 5核,15605,13976,1629,10.43896187119513,397516,122958,274558,0.2618389129638672,inherit_k3,True
case_029,4,3,case_029 / 4核,15575,13976,1599,10.26645264847512,409772,122958,286814,0.2735271453857422,inherit_k3,True
case_046,5,3,case_046 / 5核,147428,133612,13816,9.371354152535474,6873248,5012448,1860800,1.77459716796875,inherit_k3,True
case_012,5,4,case_012 / 5核,25884,23464,2420,9.349405037861228,421498,317640,103858,0.09904670715332031,inherit_k4,True
case_030,5,4,case_030 / 5核,1519378,1386306,133072,8.758320839185508,20673540,19053060,1620480,1.54541015625,inherit_k4,True
case_027,5,4,case_027 / 5核,616065,565244,50821,8.249291876668858,18481152,5529600,12951552,12.3515625,inherit_k4,True
case_046,4,3,case_046 / 4核,144472,133612,10860,7.517027520903705,6774944,5012448,1762496,1.68084716796875,inherit_k3,True
case_071,5,4,case_071 / 5核,15116,14363,753,4.981476581106112,354076,354072,4,3.814697265625e-06,inherit_k4,True
case_059,3,2,case_059 / 3核,389072,370884,18188,4.674713163630382,12582912,5046272,7536640,7.1875,inherit_k2,True
case_011,3,2,case_011 / 3核,98432,94212,4220,4.28722366710013,3145728,1261568,1884160,1.796875,inherit_k2,True
case_098,5,3,case_098 / 5核,96893,94026,2867,2.958934081925423,2386102,2386102,0,0.0,inherit_k3,True
case_006,4,3,case_006 / 4核,54589,53096,1493,2.734983238381359,2082920,2066536,16384,0.015625,inherit_k3,True
case_020,5,4,case_020 / 5核,139208,135660,3548,2.548704097465663,598016,0,598016,0.5703125,inherit_k4,True
case_081,5,4,case_081 / 5核,53692,52379,1313,2.4454294867019297,1000040,944662,55378,0.05281257629394531,inherit_k4,True
case_053,5,4,case_053 / 5核,505895,494780,11115,2.197096235384813,14981424,7431276,7550148,7.200382232666016,inherit_k4,True
case_022,5,4,case_022 / 5核,28919,28322,597,2.0643867353642933,1346040,1346040,0,0.0,inherit_k4,True
case_098,4,3,case_098 / 4核,95784,94026,1758,1.8353796041092458,2386102,2386102,0,0.0,inherit_k3,True
case_069,5,4,case_069 / 5核,18204,18008,196,1.076686442540101,503710,503706,4,3.814697265625e-06,inherit_k4,True
case_043,4,3,case_043 / 4核,287497,286671,826,0.28730734581578243,8415762,5522026,2893736,2.7596817016601562,inherit_k3,True
case_086,5,4,case_086 / 5核,75300,75245,55,0.07304116865869854,3458802,2084406,1374396,1.3107261657714844,inherit_k4,True
case_064,5,4,case_064 / 5核,16081,16072,9,0.05596666873950625,121928,121864,64,6.103515625e-05,inherit_k4,True
case_048,4,3,case_048 / 4核,163676,163641,35,0.0213837092793079,651200,651072,128,0.0001220703125,inherit_k3,True
case_048,5,3,case_048 / 5核,163676,163641,35,0.0213837092793079,651328,651072,256,0.000244140625,inherit_k3,True
