case,cores,candidate,gain_pct,relation
case_001,2,map_locality@b0,0.0,tie
case_001,2,map_locality@b1,0.0,tie
case_001,2,map_locality@b2a_w4,-27.867337508984495,worse
case_001,2,map_locality@b2a_w8,-27.867337508984495,worse
case_001,2,map_locality@b2a_w16,-27.867337508984495,worse
case_001,3,map_locality@b0,-1.3030927835051547,worse
case_001,3,map_locality@b1,0.0,tie
case_001,3,map_locality@b2a_w4,-2.6164948453608248,worse
case_001,3,map_locality@b2a_w8,-2.6164948453608248,worse
case_001,3,map_locality@b2a_w16,-2.6164948453608248,worse
case_001,4,map_locality@b0,0.0,tie
case_001,4,map_locality@b1,-24.19130611691306,worse
case_001,4,map_locality@b2a_w4,-32.28672182286722,worse
case_001,4,map_locality@b2a_w8,-32.28672182286722,worse
case_001,4,map_locality@b2a_w16,-32.28672182286722,worse
case_001,5,map_locality@b0,0.0,tie
case_001,5,map_locality@b1,0.0,tie
case_001,5,map_locality@b2a_w4,-35.58797524314766,worse
case_001,5,map_locality@b2a_w8,-35.58797524314766,worse
case_001,5,map_locality@b2a_w16,-35.58797524314766,worse
case_002,2,map_locality@b0,-27.508061081705907,worse
case_002,2,map_locality@b1,-24.870718500942996,worse
case_002,2,map_locality@b2a_w4,-22.802974995437122,worse
case_002,2,map_locality@b2a_w8,-2.981079272373304,worse
case_002,2,map_locality@b2a_w16,0.0,tie
case_002,3,map_locality@b0,-113.966544564209,worse
case_002,3,map_locality@b1,-4.846160467496198,worse
case_002,3,map_locality@b2a_w4,-30.554625706552407,worse
case_002,3,map_locality@b2a_w8,-4.608969270350144,worse
case_002,3,map_locality@b2a_w16,0.0,tie
case_002,4,map_locality@b0,-62.337646690281694,worse
case_002,4,map_locality@b1,0.0,tie
case_002,4,map_locality@b2a_w4,-38.226222318610084,worse
case_002,4,map_locality@b2a_w8,0.5686884021301718,better
case_002,4,map_locality@b2a_w16,5.925443986602087,better
case_002,5,map_locality@b0,-1.8477981914524237,worse
case_002,5,map_locality@b1,-0.018115668543651212,worse
case_002,5,map_locality@b2a_w4,-68.88935855436965,worse
case_002,5,map_locality@b2a_w8,-11.05810600685376,worse
case_002,5,map_locality@b2a_w16,-3.413293881432949,worse
case_003,2,map_locality@b0,-51.510059342141155,worse
case_003,2,map_locality@b1,-54.20130007153996,worse
case_003,2,map_locality@b2a_w4,-36.69819914872592,worse
case_003,2,map_locality@b2a_w8,-14.5933802374715,worse
case_003,2,map_locality@b2a_w16,0.0,tie
case_003,3,map_locality@b0,-94.49678385643028,worse
case_003,3,map_locality@b1,-100.7388437930435,worse
case_003,3,map_locality@b2a_w4,-77.71834338517498,worse
case_003,3,map_locality@b2a_w8,-34.85236496877466,worse
case_003,3,map_locality@b2a_w16,0.4713890263309218,better
case_003,4,map_locality@b0,-102.1179248248451,worse
case_003,4,map_locality@b1,-115.85405039152272,worse
case_003,4,map_locality@b2a_w4,-85.79865743683597,worse
case_003,4,map_locality@b2a_w8,-33.35417263322599,worse
case_003,4,map_locality@b2a_w16,-1.0917930413037251,worse
case_003,5,map_locality@b0,-122.3277252458809,worse
case_003,5,map_locality@b1,-139.18084500806427,worse
case_003,5,map_locality@b2a_w4,-110.47207551943329,worse
case_003,5,map_locality@b2a_w8,-50.0541570475317,worse
case_003,5,map_locality@b2a_w16,-0.29687549413364533,worse
case_004,2,map_locality@b0,-59.003941305997074,worse
case_004,2,map_locality@b1,-13.189497252188072,worse
case_004,2,map_locality@b2a_w4,0.0,tie
case_004,2,map_locality@b2a_w8,-20.081694206465222,worse
case_004,2,map_locality@b2a_w16,-20.081694206465222,worse
case_004,3,map_locality@b0,-172.48149228440073,worse
case_004,3,map_locality@b1,-16.133311110185147,worse
case_004,3,map_locality@b2a_w4,1.206300262510938,better
case_004,3,map_locality@b2a_w8,0.0,tie
case_004,3,map_locality@b2a_w16,0.0,tie
case_004,4,map_locality@b0,-223.24173510212677,worse
case_004,4,map_locality@b1,-13.508106969888397,worse
case_004,4,map_locality@b2a_w4,0.0,tie
case_004,4,map_locality@b2a_w8,-23.547062539481995,worse
case_004,4,map_locality@b2a_w16,-23.547062539481995,worse
case_004,5,map_locality@b0,-46.38903212108344,worse
case_004,5,map_locality@b1,-4.578037954846472,worse
case_004,5,map_locality@b2a_w4,-1.714742131497265,worse
case_004,5,map_locality@b2a_w8,-21.697149847836858,worse
case_004,5,map_locality@b2a_w16,-21.697149847836858,worse
case_005,2,map_locality@b0,-66.86329316102803,worse
case_005,2,map_locality@b1,-77.12901118048497,worse
case_005,2,map_locality@b2a_w4,-51.611732249165094,worse
case_005,2,map_locality@b2a_w8,-15.349571656744592,worse
case_005,2,map_locality@b2a_w16,-2.118121097720343,worse
case_005,3,map_locality@b0,-105.01890148988214,worse
case_005,3,map_locality@b1,-111.85234600845008,worse
case_005,3,map_locality@b2a_w4,-77.88748054258394,worse
case_005,3,map_locality@b2a_w8,-21.029575272403825,worse
case_005,3,map_locality@b2a_w16,1.4298421169668667,better
case_005,4,map_locality@b0,-110.42218197018252,worse
case_005,4,map_locality@b1,-133.8442246063815,worse
case_005,4,map_locality@b2a_w4,-83.3728112953416,worse
case_005,4,map_locality@b2a_w8,-15.310482560029724,worse
case_005,4,map_locality@b2a_w16,-1.593051878686545,worse
case_005,5,map_locality@b0,-110.16673633365845,worse
case_005,5,map_locality@b1,-140.0770981375691,worse
case_005,5,map_locality@b2a_w4,-84.43174957038688,worse
case_005,5,map_locality@b2a_w8,-18.756676420045515,worse
case_005,5,map_locality@b2a_w16,-3.989596395894292,worse
case_006,2,map_locality@b0,-70.49086883125425,worse
case_006,2,map_locality@b1,-71.82382215596431,worse
case_006,2,map_locality@b2a_w4,0.0,tie
case_006,2,map_locality@b2a_w8,-27.57766426238134,worse
case_006,2,map_locality@b2a_w16,-27.682897419595292,worse
case_006,3,map_locality@b0,-67.88307956833556,worse
case_006,3,map_locality@b1,-26.334245831542272,worse
case_006,3,map_locality@b2a_w4,0.0,tie
case_006,3,map_locality@b2a_w8,-36.42904006696681,worse
case_006,3,map_locality@b2a_w16,-49.04413927286713,worse
case_006,4,map_locality@b0,-60.9420601343861,worse
case_006,4,map_locality@b1,-15.897830365828828,worse
case_006,4,map_locality@b2a_w4,-5.251012420533472,worse
case_006,4,map_locality@b2a_w8,-22.19859279201828,worse
case_006,4,map_locality@b2a_w16,-43.19585529739146,worse
case_006,5,map_locality@b0,-29.691954277490243,worse
case_006,5,map_locality@b1,0.24079045694832693,better
case_006,5,map_locality@b2a_w4,-30.55824638122388,worse
case_006,5,map_locality@b2a_w8,-75.94863136918435,worse
case_006,5,map_locality@b2a_w16,-58.92723699869918,worse
case_007,2,map_locality@b0,-2.332472686027461,worse
case_007,2,map_locality@b1,0.0,tie
case_007,2,map_locality@b2a_w4,-15.919982420820986,worse
case_007,2,map_locality@b2a_w8,-33.37588097861738,worse
case_007,2,map_locality@b2a_w16,-33.37588097861738,worse
case_007,3,map_locality@b0,-137.88605661928815,worse
case_007,3,map_locality@b1,-0.1447198402443322,worse
case_007,3,map_locality@b2a_w4,-4.366028427111477,worse
case_007,3,map_locality@b2a_w8,-26.014800892752262,worse
case_007,3,map_locality@b2a_w16,-26.014800892752262,worse
case_007,4,map_locality@b0,-210.47041436447148,worse
case_007,4,map_locality@b1,0.0,tie
case_007,4,map_locality@b2a_w4,-11.641084448914263,worse
case_007,4,map_locality@b2a_w8,-26.403853583452403,worse
case_007,4,map_locality@b2a_w16,-26.403853583452403,worse
case_007,5,map_locality@b0,0.0,tie
case_007,5,map_locality@b1,-31.054681750836465,worse
case_007,5,map_locality@b2a_w4,-35.49555030073491,worse
case_007,5,map_locality@b2a_w8,-65.4257876507354,worse
case_007,5,map_locality@b2a_w16,-65.4257876507354,worse
case_008,2,map_locality@b0,0.0,tie
case_008,2,map_locality@b1,-22.007959508888394,worse
case_008,2,map_locality@b2a_w4,-34.15157745246175,worse
case_008,2,map_locality@b2a_w8,-117.28963860196676,worse
case_008,2,map_locality@b2a_w16,-117.28963860196676,worse
case_008,3,map_locality@b0,0.0,tie
case_008,3,map_locality@b1,0.0,tie
case_008,3,map_locality@b2a_w4,-50.70244063687951,worse
case_008,3,map_locality@b2a_w8,-164.64290305400988,worse
case_008,3,map_locality@b2a_w16,-164.64290305400988,worse
case_008,4,map_locality@b0,0.0,tie
case_008,4,map_locality@b1,-19.217454900048757,worse
case_008,4,map_locality@b2a_w4,-60.931253047294,worse
case_008,4,map_locality@b2a_w8,-194.96505769543313,worse
case_008,4,map_locality@b2a_w16,-194.96505769543313,worse
case_008,5,map_locality@b0,-10.793996632784435,worse
case_008,5,map_locality@b1,6.3346868219427215,better
case_008,5,map_locality@b2a_w4,-90.88150822446903,worse
case_008,5,map_locality@b2a_w8,-290.17835438593335,worse
case_008,5,map_locality@b2a_w16,-290.17835438593335,worse
case_009,2,map_locality@b0,-47.25529325870041,worse
case_009,2,map_locality@b1,-30.39961061085422,worse
case_009,2,map_locality@b2a_w4,0.0,tie
case_009,2,map_locality@b2a_w8,-17.290825018252615,worse
case_009,2,map_locality@b2a_w16,1.8349963494767583,better
case_009,3,map_locality@b0,-68.80601969680204,worse
case_009,3,map_locality@b1,-55.72203164767069,worse
case_009,3,map_locality@b2a_w4,-10.090738076795397,worse
case_009,3,map_locality@b2a_w8,-20.090738076795397,worse
case_009,3,map_locality@b2a_w16,-1.617793515547195,worse
case_009,4,map_locality@b0,-72.22948749746341,worse
case_009,4,map_locality@b1,-39.24826948659557,worse
case_009,4,map_locality@b2a_w4,-9.515005298640391,worse
case_009,4,map_locality@b2a_w8,-22.727785168316384,worse
case_009,4,map_locality@b2a_w16,-1.9672611666027824,worse
case_009,5,map_locality@b0,-82.01459402192674,worse
case_009,5,map_locality@b1,-56.22388610472937,worse
case_009,5,map_locality@b2a_w4,-15.987953384836977,worse
case_009,5,map_locality@b2a_w8,-24.80031425952599,worse
case_009,5,map_locality@b2a_w16,1.6236742176247216,better
case_010,2,map_locality@b0,-63.023757296352755,worse
case_010,2,map_locality@b1,-21.554448451500168,worse
case_010,2,map_locality@b2a_w4,0.0,tie
case_010,2,map_locality@b2a_w8,-7.78153697438376,worse
case_010,2,map_locality@b2a_w16,-8.809532661635126,worse
case_010,3,map_locality@b0,-93.36782804226408,worse
case_010,3,map_locality@b1,-6.651514785173723,worse
case_010,3,map_locality@b2a_w4,0.0,tie
case_010,3,map_locality@b2a_w8,-20.728257453033198,worse
case_010,3,map_locality@b2a_w16,-15.321937184167895,worse
case_010,4,map_locality@b0,-118.98213597224007,worse
case_010,4,map_locality@b1,-5.004498136486313,worse
case_010,4,map_locality@b2a_w4,-10.805809021976609,worse
case_010,4,map_locality@b2a_w8,-35.005783318339546,worse
case_010,4,map_locality@b2a_w16,-38.43721886646961,worse
case_010,5,map_locality@b0,-125.44490213499179,worse
case_010,5,map_locality@b1,0.0,tie
case_010,5,map_locality@b2a_w4,-19.311848800581537,worse
case_010,5,map_locality@b2a_w8,-37.576393936946396,worse
case_010,5,map_locality@b2a_w16,-33.93371563955523,worse
case_011,2,map_locality@b0,0.0,tie
case_011,2,map_locality@b1,-99.35777043801136,worse
case_011,2,map_locality@b2a_w4,-11.975692420611791,worse
case_011,2,map_locality@b2a_w8,-12.198044168123825,worse
case_011,2,map_locality@b2a_w16,-11.82673833732703,worse
case_011,3,map_locality@b0,-132.95033171051637,worse
case_011,3,map_locality@b1,-132.95033171051637,worse
case_011,3,map_locality@b2a_w4,-1.9372903160709332,worse
case_011,3,map_locality@b2a_w8,0.0,tie
case_011,3,map_locality@b2a_w16,-4.078904220164972,worse
case_011,4,map_locality@b0,0.0,tie
case_011,4,map_locality@b1,-293.9782423208191,worse
case_011,4,map_locality@b2a_w4,-32.034982935153586,worse
case_011,4,map_locality@b2a_w8,-33.05674061433447,worse
case_011,4,map_locality@b2a_w16,-37.540529010238906,worse
case_011,5,map_locality@b0,-195.8383105802048,worse
case_011,5,map_locality@b1,-293.9782423208191,worse
case_011,5,map_locality@b2a_w4,-15.92363481228669,worse
case_011,5,map_locality@b2a_w8,-15.895904436860068,worse
case_011,5,map_locality@b2a_w16,-17.602389078498295,worse
case_012,2,map_locality@b0,-69.54747989121,worse
case_012,2,map_locality@b1,-30.006944042590128,worse
case_012,2,map_locality@b2a_w4,-0.21989468202071638,worse
case_012,2,map_locality@b2a_w8,4.516521034662346,better
case_012,2,map_locality@b2a_w16,-10.604131705341127,worse
case_012,3,map_locality@b0,-37.9850003826433,worse
case_012,3,map_locality@b1,-52.579015841432614,worse
case_012,3,map_locality@b2a_w4,3.681028545190174,better
case_012,3,map_locality@b2a_w8,-15.164153975663886,worse
case_012,3,map_locality@b2a_w16,-33.74148618657687,worse
case_012,4,map_locality@b0,-57.25034759139609,worse
case_012,4,map_locality@b1,3.9584526048908155,better
case_012,4,map_locality@b2a_w4,1.5130449006297537,better
case_012,4,map_locality@b2a_w8,-28.02813445653063,worse
case_012,4,map_locality@b2a_w16,-39.711294675717674,worse
case_012,5,map_locality@b0,-115.62116627136665,worse
case_012,5,map_locality@b1,0.9896131512227039,better
case_012,5,map_locality@b2a_w4,5.847714075406887,better
case_012,5,map_locality@b2a_w8,-21.836918295575366,worse
case_012,5,map_locality@b2a_w16,-43.522532101087755,worse
case_013,2,map_locality@b0,-59.90609759791597,worse
case_013,2,map_locality@b1,0.0,tie
case_013,2,map_locality@b2a_w4,-8.95465422712265,worse
case_013,2,map_locality@b2a_w8,-8.95465422712265,worse
case_013,2,map_locality@b2a_w16,-8.95465422712265,worse
case_013,3,map_locality@b0,-195.5193300267586,worse
case_013,3,map_locality@b1,-23.541990886393407,worse
case_013,3,map_locality@b2a_w4,-32.54363670969692,worse
case_013,3,map_locality@b2a_w8,-32.54363670969692,worse
case_013,3,map_locality@b2a_w16,-32.54363670969692,worse
case_013,4,map_locality@b0,-58.03922506005665,worse
case_013,4,map_locality@b1,0.0,tie
case_013,4,map_locality@b2a_w4,-39.21191332719819,worse
case_013,4,map_locality@b2a_w8,-39.21191332719819,worse
case_013,4,map_locality@b2a_w16,-39.21191332719819,worse
case_013,5,map_locality@b0,-234.8182306590258,worse
case_013,5,map_locality@b1,0.0,tie
case_013,5,map_locality@b2a_w4,-94.51408787010506,worse
case_013,5,map_locality@b2a_w8,-94.51408787010506,worse
case_013,5,map_locality@b2a_w16,-94.51408787010506,worse
case_014,2,map_locality@b0,-53.14630061105103,worse
case_014,2,map_locality@b1,-51.47159496321691,worse
case_014,2,map_locality@b2a_w4,0.0,tie
case_014,2,map_locality@b2a_w8,-6.03567665347693,worse
case_014,2,map_locality@b2a_w16,-11.782944320401429,worse
case_014,3,map_locality@b0,-107.78946810756338,worse
case_014,3,map_locality@b1,-52.845165761506614,worse
case_014,3,map_locality@b2a_w4,-1.1333356127162024,worse
case_014,3,map_locality@b2a_w8,-9.591261919645685,worse
case_014,3,map_locality@b2a_w16,-15.019830047501795,worse
case_014,4,map_locality@b0,-97.69674657944347,worse
case_014,4,map_locality@b1,-36.09968625653062,worse
case_014,4,map_locality@b2a_w4,0.0,tie
case_014,4,map_locality@b2a_w8,-10.032140743199088,worse
case_014,4,map_locality@b2a_w16,-13.2265487876227,worse
case_014,5,map_locality@b0,-172.82882026599177,worse
case_014,5,map_locality@b1,-156.7413415756946,worse
case_014,5,map_locality@b2a_w4,0.7309078416943505,better
case_014,5,map_locality@b2a_w8,-11.410303995402353,worse
case_014,5,map_locality@b2a_w16,-18.782686006497983,worse
case_015,2,map_locality@b0,-71.31025898798411,worse
case_015,2,map_locality@b1,-28.97697352673656,worse
case_015,2,map_locality@b2a_w4,0.0,tie
case_015,2,map_locality@b2a_w8,-11.125472736847144,worse
case_015,2,map_locality@b2a_w16,-20.05170185264972,worse
case_015,3,map_locality@b0,-61.218592815439315,worse
case_015,3,map_locality@b1,-41.518722427672806,worse
case_015,3,map_locality@b2a_w4,0.0,tie
case_015,3,map_locality@b2a_w8,-12.126473001415032,worse
case_015,3,map_locality@b2a_w16,-20.46803096424367,worse
case_015,4,map_locality@b0,-140.10877964691196,worse
case_015,4,map_locality@b1,-75.92878796885216,worse
case_015,4,map_locality@b2a_w4,4.030196754443321,better
case_015,4,map_locality@b2a_w8,-37.39226059561315,worse
case_015,4,map_locality@b2a_w16,-39.74618082387208,worse
case_015,5,map_locality@b0,-175.4864894060277,worse
case_015,5,map_locality@b1,-83.48790913720467,worse
case_015,5,map_locality@b2a_w4,-2.470640885171525,worse
case_015,5,map_locality@b2a_w8,-57.07627968704187,worse
case_015,5,map_locality@b2a_w16,-60.47128902331754,worse
case_016,2,map_locality@b0,0.0,tie
case_016,2,map_locality@b1,0.0,tie
case_016,2,map_locality@b2a_w4,-0.1354282788088377,worse
case_016,2,map_locality@b2a_w8,-0.2708565576176754,worse
case_016,2,map_locality@b2a_w16,-0.2708565576176754,worse
case_016,3,map_locality@b0,0.0,tie
case_016,3,map_locality@b1,0.0,tie
case_016,3,map_locality@b2a_w4,-0.1354282788088377,worse
case_016,3,map_locality@b2a_w8,-0.2708565576176754,worse
case_016,3,map_locality@b2a_w16,-0.2708565576176754,worse
case_016,4,map_locality@b0,0.0,tie
case_016,4,map_locality@b1,0.0,tie
case_016,4,map_locality@b2a_w4,-0.1354282788088377,worse
case_016,4,map_locality@b2a_w8,-0.2708565576176754,worse
case_016,4,map_locality@b2a_w16,-0.2708565576176754,worse
case_016,5,map_locality@b0,0.0,tie
case_016,5,map_locality@b1,0.0,tie
case_016,5,map_locality@b2a_w4,-0.1354282788088377,worse
case_016,5,map_locality@b2a_w8,-0.2708565576176754,worse
case_016,5,map_locality@b2a_w16,-0.2708565576176754,worse
case_017,2,map_locality@b0,-28.889852657528618,worse
