case,cores,split,winner,winner_family,makespan_cycles,stage1_makespan_cycles,added_copy_bytes,stage1_added_copy_bytes,spill_added_copy_bytes,stage1_spill_added_copy_bytes,cross_task_traffic_bytes,cross_core_transfer_count,used_core_count,group_wall_seconds,gain_pct,copy_delta_mib,spill_delta_mib,speedup
case_001,1,development,stage1_actual_winner,verified_stage1_global_fallback,233110,233110,0,0,0,0,0,0,1,0.07256280072033405,0.0,0.0,0.0,1.0
case_001,2,development,stage1_actual_winner,verified_stage1_global_fallback,116868,116868,1152,1152,0,0,0,0,2,2.000513531267643,0.0,0.0,0.0,1.9946435294520313
case_001,3,development,stage1_actual_winner,verified_stage1_global_fallback,97000,97000,88320,88320,0,0,28672,7,3,3.499099349603057,0.0,0.0,0.0,2.4031958762886596
case_001,4,development,stage1_actual_winner,verified_stage1_global_fallback,58984,58984,3456,3456,0,0,0,0,4,3.7582812048494816,0.0,0.0,0.0,3.952088702020887
case_001,5,development,stage1_actual_winner,verified_stage1_global_fallback,47502,47502,4608,4608,0,0,0,0,5,4.532685227692127,0.0,0.0,0.0,4.9073723211654245
case_002,1,holdout,stage1_actual_winner,verified_stage1_global_fallback,261945,261945,0,0,0,0,0,0,1,0.17099315114319324,0.0,0.0,0.0,1.0
case_002,2,holdout,stage1_actual_winner,verified_stage1_global_fallback,131496,131496,3472896,3472896,635904,635904,960000,625,2,5.933463281020522,0.0,0.0,0.0,1.992037780616901
case_002,3,holdout,stage1_actual_winner,verified_stage1_global_fallback,104557,104557,4414464,4414464,0,0,1290240,840,3,9.26692640595138,0.0,0.0,0.0,2.5052841990493224
case_002,4,holdout,map_locality@b2a_w16,scene_b_fixed_partition_mapping,78080,82998,3105792,219648,0,0,866304,564,4,11.665089344605803,5.925443986602087,2.75244140625,0.0,3.354828381147541
case_002,5,holdout,stage1_actual_winner,verified_stage1_global_fallback,66241,66241,228864,228864,0,0,98304,64,5,15.406295517459512,0.0,0.0,0.0,3.954423997222264
case_003,1,holdout,stage1_actual_winner,verified_stage1_global_fallback,602212,602212,0,0,0,0,0,0,1,1.1616170797497034,0.0,0.0,0.0,1.0
case_003,2,holdout,stage1_actual_winner,verified_stage1_global_fallback,388594,388594,1862376,1862376,0,0,724338,949,2,23.412005934864283,0.0,0.0,0.0,1.549720273601754
case_003,3,holdout,map_locality@b2a_w16,scene_b_fixed_partition_mapping,297706,299116,2720064,2730816,0,0,1014940,1188,3,53.0145659763366,0.4713890263309218,-0.01025390625,0.0,2.0228413266779977
case_003,4,holdout,stage1_actual_winner,verified_stage1_global_fallback,286318,286318,3410168,3410168,0,0,1181814,1417,4,63.016873398795724,0.0,0.0,0.0,2.103297731892511
case_003,5,holdout,stage1_actual_winner,verified_stage1_global_fallback,252968,252968,4152832,4152832,0,0,1354488,1674,5,74.63693236745894,0.0,0.0,0.0,2.380585686727175
case_004,1,holdout,stage1_actual_winner,verified_stage1_global_fallback,392357,392357,0,0,0,0,0,0,1,0.07410089485347271,0.0,0.0,0.0,1.0
case_004,2,holdout,stage1_actual_winner,verified_stage1_global_fallback,216172,216172,2909184,2909184,995328,995328,768000,139,2,2.0086271185427904,0.0,0.0,0.0,1.8150222970597487
case_004,3,holdout,map_locality@b2a_w4,scene_b_fixed_partition_mapping,142257,143994,2110464,2350080,709632,2128896,513024,93,3,3.861736299470067,1.206300262510938,-0.228515625,-1.353515625,2.7580857181017455
case_004,4,holdout,stage1_actual_winner,verified_stage1_global_fallback,113976,113976,3446784,3446784,196608,196608,1277952,222,4,4.800708973780274,0.0,0.0,0.0,3.442452797080087
case_004,5,holdout,stage1_actual_winner,verified_stage1_global_fallback,98907,98907,4343808,4343808,73728,73728,1643520,290,5,7.516089376062155,0.0,0.0,0.0,3.9669285288200027
case_005,1,holdout,stage1_actual_winner,verified_stage1_global_fallback,95618,95618,0,0,0,0,0,0,1,0.345870453864336,0.0,0.0,0.0,1.0
case_005,2,holdout,stage1_actual_winner,verified_stage1_global_fallback,55096,55096,900134,900134,0,0,396640,450,2,9.785972125828266,0.0,0.0,0.0,1.7354798896471613
case_005,3,holdout,map_locality@b2a_w16,scene_b_fixed_partition_mapping,44327,44970,1490314,1381610,0,0,644880,671,3,16.78211772814393,1.4298421169668667,0.103668212890625,0.0,2.157105150359826
case_005,4,holdout,stage1_actual_winner,verified_stage1_global_fallback,43062,43062,1945102,1945102,0,0,779632,817,4,20.72336069121957,0.0,0.0,0.0,2.2204728066508754
case_005,5,holdout,stage1_actual_winner,verified_stage1_global_fallback,43062,43062,1945102,1945102,0,0,779632,817,4,21.589860271662474,0.0,0.0,0.0,2.2204728066508754
case_006,1,holdout,stage1_actual_winner,verified_stage1_global_fallback,82837,82837,16400,16400,16400,16400,0,0,1,0.11866719089448452,0.0,0.0,0.0,1.0
case_006,2,holdout,stage1_actual_winner,verified_stage1_global_fallback,45613,45613,1178898,1178898,207912,207912,347058,85,2,3.2543064914643764,0.0,0.0,0.0,1.816083134194199
case_006,3,holdout,stage1_actual_winner,verified_stage1_global_fallback,44201,44201,1404444,1404444,0,0,578760,132,3,3.362834358587861,0.0,0.0,0.0,1.8740978710888894
case_006,4,holdout,stage1_actual_winner,verified_stage1_global_fallback,44201,44201,1404444,1404444,0,0,578760,132,3,4.693886265158653,0.0,0.0,0.0,1.8740978710888894
case_006,5,holdout,map_locality@b1,scene_b_fixed_partition_mapping,36044,36131,449732,503232,0,0,137760,35,5,6.4339841939508915,0.24079045694832693,-0.051021575927734375,0.0,2.2982188436355564
case_007,1,holdout,stage1_actual_winner,verified_stage1_global_fallback,1012562,1012562,0,0,0,0,0,0,1,0.7488680388778448,0.0,0.0,0.0,1.0
case_007,2,holdout,stage1_actual_winner,verified_stage1_global_fallback,618914,618914,2987520,2987520,1536000,1536000,569856,186,2,17.330267572775483,0.0,0.0,0.0,1.636030207750996
case_007,3,holdout,stage1_actual_winner,verified_stage1_global_fallback,425650,425650,3151872,3151872,743424,743424,941568,308,3,29.22662967070937,0.0,0.0,0.0,2.3788605661928814
case_007,4,holdout,map_locality@b1,scene_b_fixed_partition_mapping,326138,326138,3087360,3319296,337920,215040,1067520,350,4,52.955929324030876,0.0,-0.22119140625,0.1171875,3.1047041436447147
case_007,5,holdout,stage1_actual_winner,verified_stage1_global_fallback,203834,203834,110592,110592,0,0,0,0,5,53.41952695325017,0.0,0.0,0.0,4.967581463347626
case_008,1,holdout,stage1_actual_winner,verified_stage1_global_fallback,487605,487605,0,0,0,0,0,0,1,0.20218916609883308,0.0,0.0,0.0,1.0
case_008,2,holdout,stage1_actual_winner,verified_stage1_global_fallback,242226,242226,0,0,0,0,0,0,2,3.3004180546849966,0.0,0.0,0.0,2.0130167694632286
case_008,3,holdout,stage1_actual_winner,verified_stage1_global_fallback,163359,163359,0,0,0,0,0,0,3,4.711733156815171,0.0,0.0,0.0,2.984867684057811
case_008,4,holdout,stage1_actual_winner,verified_stage1_global_fallback,123060,123060,0,0,0,0,0,0,4,6.045703060925007,0.0,0.0,0.0,3.962335446123842
case_008,5,holdout,map_locality@b1,scene_b_fixed_partition_mapping,104035,111071,481536,518784,0,0,240768,19,5,14.154593335464597,6.3346868219427215,-0.0355224609375,0.0,4.6869322824049595
case_009,1,holdout,stage1_actual_winner,verified_stage1_global_fallback,153261,153261,0,0,0,0,0,0,1,0.359093202278018,0.0,0.0,0.0,1.0
case_009,2,holdout,map_locality@b2a_w16,scene_b_fixed_partition_mapping,100840,102725,934196,100408,30216,0,395156,500,2,13.258148696273565,1.8349963494767583,0.7951622009277344,0.02881622314453125,1.5198433161443872
case_009,3,holdout,stage1_actual_winner,verified_stage1_global_fallback,90370,90370,1238032,1238032,8192,8192,521604,670,3,25.514217549934983,0.0,0.0,0.0,1.6959278521633285
case_009,4,holdout,stage1_actual_winner,verified_stage1_global_fallback,88702,88702,1493532,1493532,0,0,610056,790,4,33.33386857435107,0.0,0.0,0.0,1.7278189894252667
case_009,5,holdout,map_locality@b2a_w16,scene_b_fixed_partition_mapping,82643,84007,1582692,1602452,0,0,629546,828,5,41.3686383664608,1.6236742176247216,-0.0188446044921875,0.0,1.854494633544281
case_010,1,validation,stage1_actual_winner,verified_stage1_global_fallback,86969,86969,0,0,0,0,0,0,1,0.12937631458044052,0.0,0.0,0.0,1.0
case_010,2,validation,stage1_actual_winner,verified_stage1_global_fallback,53794,53794,923272,923272,98688,98688,390788,90,2,1.6738960351794958,0.0,0.0,0.0,1.6167044651819906
case_010,3,validation,stage1_actual_winner,verified_stage1_global_fallback,41359,41359,1418344,1418344,0,0,554964,125,3,2.6599988602101803,0.0,0.0,0.0,2.102782949297614
case_010,4,validation,stage1_actual_winner,verified_stage1_global_fallback,38905,38905,489772,489772,0,0,95766,34,4,4.214921562001109,0.0,0.0,0.0,2.23541961187508
case_010,5,validation,map_locality@b1,scene_b_fixed_partition_mapping,37143,37143,413348,548260,0,0,111570,35,5,5.541348440572619,0.0,-0.128662109375,0.0,2.3414640712920334
case_011,1,holdout,stage1_actual_winner,verified_stage1_global_fallback,184697,184697,0,0,0,0,0,0,1,0.12719185650348663,0.0,0.0,0.0,1.0
case_011,2,holdout,stage1_actual_winner,verified_stage1_global_fallback,92646,92646,180224,180224,0,0,0,0,2,2.4950090404599905,0.0,0.0,0.0,1.9935777043801135
case_011,3,holdout,stage1_actual_winner,verified_stage1_global_fallback,79286,79286,1916928,1916928,0,0,958464,234,3,2.2325580809265375,0.0,0.0,0.0,2.329503317105164
case_011,4,holdout,stage1_actual_winner,verified_stage1_global_fallback,46880,46880,540672,540672,0,0,0,0,4,3.9038543794304132,0.0,0.0,0.0,3.9397824232081913
case_011,5,holdout,stage1_actual_winner,verified_stage1_global_fallback,46880,46880,540672,540672,0,0,0,0,4,4.174937272444367,0.0,0.0,0.0,3.9397824232081913
case_012,1,holdout,stage1_actual_winner,verified_stage1_global_fallback,59088,59088,0,0,0,0,0,0,1,0.10406074486672878,0.0,0.0,0.0,1.0
case_012,2,holdout,map_locality@b2a_w8,scene_b_fixed_partition_mapping,33001,34562,822146,822062,0,0,327580,307,2,3.817092264071107,4.516521034662346,8.0108642578125e-05,0.0,1.7904911972364475
case_012,3,holdout,map_locality@b2a_w4,scene_b_fixed_partition_mapping,25172,26134,690488,713818,0,0,271192,226,3,7.365077460184693,3.681028545190174,-0.022249221801757812,0.0,2.3473700937549657
