case,makespan_k1,makespan_k2,makespan_k3,makespan_k4,makespan_k5,added_copy_bytes_k1,added_copy_bytes_k2,added_copy_bytes_k3,added_copy_bytes_k4,added_copy_bytes_k5,speedup_k1,speedup_k2,speedup_k3,speedup_k4,speedup_k5
case_001,233110,118572,99499,61884,50628,0,8064,147840,115584,21888,1.0,1.965978477212158,2.342837616458457,3.766886432680499,4.604369123805009
case_002,261945,153541,112113,85390,69680,0,4584960,205824,281088,264192,1.0,1.7060264033710866,2.3364373444649598,3.067630870125307,3.759256601607348
case_003,602212,407386,330665,309465,293180,0,4211938,5083146,5901106,6110028,1.0,1.4782344017712932,1.8212148246714956,1.9459777357697965,2.054069172522
case_004,392357,249175,173560,139406,116154,0,2165760,2439168,2715648,3072000,1.0,1.574624260058192,2.260641852961512,2.814491485301924,3.3779034729755324
case_005,95618,72314,65628,62536,61582,0,2360386,2496356,1758192,1802168,1.0,1.3222612495505712,1.456969586152252,1.5290072917999231,1.5526939690169206
case_006,82837,54493,53096,53096,41337,16400,2033768,2066536,2066536,849150,1.0,1.52014020149377,1.5601363567877051,1.5601363567877051,2.0039431985872223
case_007,1012562,620166,429420,328001,208922,0,4403712,4486656,4580352,671232,1.0,1.6327273665437962,2.357975874435285,3.08706985649434,4.846603038454543
case_008,487605,244924,166440,126466,122980,0,147456,0,442368,667008,1.0,1.9908420571279253,2.929614275414564,3.855621273702023,3.9649129939827614
case_009,153261,103393,100723,98845,96659,0,456306,505458,554610,2157712,1.0,1.4823150503418994,1.5216087686030002,1.5505184885426675,1.585584373933105
case_010,86969,66374,47147,44496,40860,0,582646,592314,680338,713736,1.0,1.3102871606351885,1.8446348654209173,1.9545352391226176,2.12846304454234
case_011,184697,94212,94212,49484,49484,0,1261568,1261568,1622016,1622016,1.0,1.9604402836156756,1.9604402836156756,3.7324589766389136,3.7324589766389136
case_012,59088,40550,32790,23464,23464,0,1124538,1129212,317640,317640,1.0,1.4571639950678177,1.8020128087831653,2.5182407091714967,2.5182407091714967
