case,cores,t_i_1,final_makespan,final_speedup,final_added_copy_bytes,officially_measured
case_001,2,233110,118572,1.965978477212158,8064,True
case_002,2,261945,153541,1.7060264033710866,4584960,True
case_003,2,602212,407386,1.4782344017712932,4211938,True
case_004,2,392357,249175,1.574624260058192,2165760,True
case_005,2,95618,72314,1.3222612495505712,2360386,True
case_006,2,82837,54493,1.52014020149377,2033768,True
case_007,2,1012562,620166,1.6327273665437962,4403712,True
case_008,2,487605,244924,1.9908420571279253,147456,True
case_009,2,153261,103393,1.4823150503418994,456306,True
case_010,2,86969,66374,1.3102871606351885,582646,True
case_011,2,184697,94212,1.9604402836156756,1261568,True
case_012,2,59088,40550,1.4571639950678177,1124538,True
case_013,2,263949,166316,1.587033117679598,131072,True
case_014,2,17698626,11873679,1.4905764253859313,265001472,True
case_015,2,177362,113380,1.5643146939495505,3050540,True
case_016,2,7715523,7715523,1.0,0,True
case_017,2,162810,95785,1.6997442188234066,2032660,True
case_018,2,1004367,613121,1.6381220020191771,9836456,True
case_019,2,81144,46216,1.7557555824822573,1040000,True
case_020,2,532746,267708,1.9900264467255369,0,True
case_021,2,6567937,3102580,2.1169275248341703,6656000,True
case_022,2,56780,34100,1.6651026392961876,1346040,True
case_023,2,122614,72315,1.6955541727165873,1782584,True
case_024,2,2555343,2555343,1.0,0,True
case_025,2,4863026,2969082,1.637888748104633,20616192,True
case_026,2,99203,71676,1.3840476589095374,2249880,True
case_027,2,2363952,1119508,2.1115990238569085,3317760,True
case_028,2,43836040,20389484,2.149933759971562,48190464,True
case_029,2,37555,25272,1.4860319721430832,270490,True
case_030,2,2808034,2200787,1.2759226585762276,66977792,True
case_031,2,1414369,866386,1.6324929073184469,5059588,True
case_032,2,41443,27012,1.5342440396860657,266406,True
case_033,2,1774196,1086331,1.6332001940476706,6924292,True
case_034,2,842996,596520,1.413189834372695,15055988,True
case_035,2,169571,106131,1.5977518349963724,525204,True
case_036,2,931510,467772,1.9913761405128996,8064,True
case_037,2,210001,133437,1.5737838830309434,1595392,True
case_038,2,1364555,1008722,1.3527562599011422,22607872,True
case_039,2,1435262,870099,1.6495387306501903,13533184,True
case_040,2,253454,147941,1.7132099958767346,847184,True
case_041,2,6003957,3673618,1.6343443983560622,21554184,True
case_042,2,1686740,1007984,1.6733797361862888,19385376,True
case_043,2,677656,349722,1.9376990867031527,2549426,True
case_044,2,154407,87589,1.762858349792782,2915104,True
case_045,2,125614,80336,1.5636078470424215,217088,True
case_046,2,276455,154820,1.785654308228911,3151648,True
case_047,2,326508,253283,1.2891034929308325,1518112,True
case_048,2,222220,176165,1.2614310447591746,650944,True
case_049,2,196276,139420,1.4078037584277725,1434798,True
case_050,2,149690,98315,1.5225550526369322,2499756,True
case_051,2,607628,607628,1.0,0,True
case_052,2,180301,108708,1.6585807852227987,726294,True
case_053,2,1472686,765799,1.9230711975335564,3596396,True
case_054,2,815051,517697,1.5743784491700743,6563522,True
case_055,2,118835,71645,1.6586642473305884,1977060,True
case_056,2,277285,210518,1.3171557776532172,2913858,True
case_057,2,59726,35529,1.6810492836837514,1124990,True
case_058,2,4539717,3875932,1.171258164487922,122425344,True
case_059,2,829473,370884,2.2364755556993563,5046272,True
case_060,2,888789,552794,1.6078123134476858,5445690,True
case_061,2,77191,55008,1.4032686154741127,221910,True
case_062,2,2854809,1640007,1.7407297651778315,50250240,True
case_063,2,1070397,617043,1.7347202707104692,18823680,True
case_064,2,19116,17926,1.0663840232065156,57174,True
case_065,2,53068,33464,1.5858235715993303,855724,True
case_066,2,359070,196267,1.82949757218483,2021184,True
case_067,2,63834834,32108755,1.988081879848658,219499648,True
case_068,2,362095,228701,1.583268109890206,3252326,True
case_069,2,25144,21908,1.1477085995983205,456078,True
case_070,2,117300,75454,1.554589551249768,1886666,True
case_071,2,18919,16356,1.1567009048667156,321038,True
case_072,2,23897828,15845126,1.5082131880806755,261688546,True
case_073,2,10081626,5287173,1.9068084210597989,137754240,True
case_074,2,1682239,1056450,1.5923507974821336,18104624,True
case_075,2,1441809,1011157,1.4259002311213789,3980862,True
case_076,2,6185113,4643593,1.3319670780794095,47734784,True
case_077,2,495320,302526,1.6372807626451942,3259766,True
case_078,2,2296143,1080972,2.1241466013920807,15039360,True
case_079,2,31052251,15450384,2.0098044812349,34050048,True
case_080,2,292138,222646,1.3121187894684836,6930432,True
case_081,2,151795,96614,1.571149108824808,811530,True
case_082,2,721041,457211,1.5770421096605287,3894114,True
case_083,2,1057993,472408,2.2395746896750266,4187936,True
case_084,2,2507412,1257025,1.9947192776595533,29776896,True
case_085,2,3187899,2379485,1.3397432637734636,9492140,True
case_086,2,118403,91416,1.2952109039992998,2978098,True
case_087,2,3974071,2242785,1.7719357851956383,28326240,True
case_088,2,243623,158945,1.5327503224385794,2658980,True
case_089,2,693092,348428,1.989197194255341,1671040,True
