case,cores,t_i_1,old_winner,old_makespan,old_added_copy_bytes,old_speedup,projected_fallback_source_cores,projected_fallback_makespan,projected_fallback_added_copy_bytes,pre_reevaluation_projected_winner,pre_reevaluation_projected_makespan,pre_reevaluation_projected_added_copy_bytes,pre_reevaluation_projected_speedup,measured_fallback_best_source_cores,measured_fallback_makespan,measured_fallback_added_copy_bytes,final_winner,final_makespan,final_added_copy_bytes,final_speedup,reported_value_kind,officially_measured,makespan_improvement,added_copy_bytes_change,projection_makespan_error,projection_added_copy_bytes_error,fallback_group_status
case_001,1,233110,single_core_baseline,233110,0,1.0,,,,single_core_baseline,233110,0,1.0,,,,single_core_baseline,233110,0,1.0,officially_measured_original,True,0,0,0,0,not_applicable
case_001,2,233110,b0,118572,8064,1.965978477212158,,,,b0,118572,8064,1.965978477212158,,,,b0,118572,8064,1.965978477212158,officially_measured_original,True,0,0,0,0,not_applicable
case_001,3,233110,b1,99499,147840,2.342837616458457,2,118572,8064,b1,99499,147840,2.342837616458457,2,118572,8064,b1,99499,147840,2.342837616458457,officially_measured_after_fallback,True,0,0,0,0,success
case_001,4,233110,b0,61884,115584,3.766886432680499,3,99499,147840,b0,61884,115584,3.766886432680499,3,99499,147840,b0,61884,115584,3.766886432680499,officially_measured_after_fallback,True,0,0,0,0,success
case_001,5,233110,b0,50628,21888,4.604369123805009,4,61884,115584,b0,50628,21888,4.604369123805009,4,61884,115584,b0,50628,21888,4.604369123805009,officially_measured_after_fallback,True,0,0,0,0,success
case_002,1,261945,single_core_baseline,261945,0,1.0,,,,single_core_baseline,261945,0,1.0,,,,single_core_baseline,261945,0,1.0,officially_measured_original,True,0,0,0,0,not_applicable
case_002,2,261945,b2a_w4,153541,4584960,1.7060264033710866,,,,b2a_w4,153541,4584960,1.7060264033710866,,,,b2a_w4,153541,4584960,1.7060264033710866,officially_measured_original,True,0,0,0,0,not_applicable
case_002,3,261945,b1,112113,205824,2.3364373444649593,2,153541,4584960,b1,112113,205824,2.3364373444649593,2,153541,4584960,b1,112113,205824,2.3364373444649593,officially_measured_after_fallback,True,0,0,0,0,success
case_002,4,261945,b1,85390,281088,3.067630870125307,3,112113,205824,b1,85390,281088,3.067630870125307,3,112113,205824,b1,85390,281088,3.067630870125307,officially_measured_after_fallback,True,0,0,0,0,success
case_002,5,261945,b1,69680,264192,3.759256601607348,4,85390,281088,b1,69680,264192,3.759256601607348,4,85390,281088,b1,69680,264192,3.759256601607348,officially_measured_after_fallback,True,0,0,0,0,success
case_003,1,602212,single_core_baseline,602212,0,1.0,,,,single_core_baseline,602212,0,1.0,,,,single_core_baseline,602212,0,1.0,officially_measured_original,True,0,0,0,0,not_applicable
