case,split,noncopy_ops,copy_ops,tensor_count,edge_count,ddr_tensor_bytes,total_tensor_bytes
case_001,development,600,401,1202,2402,1639552,4917504
case_002,holdout,1798,399,2595,5392,1224192,5208576
case_003,holdout,13455,215,13868,36295,1284264,10353812
case_004,holdout,777,225,1116,2670,792576,5336064
case_005,holdout,4113,96,4298,11187,333414,3550860
case_006,holdout,678,173,982,1995,543348,3709238
case_007,holdout,3885,1113,5556,13326,1732608,12842496
case_008,holdout,864,540,1836,3348,2654424,15303600
case_009,holdout,5671,387,6376,15754,495332,3302976
case_010,validation,667,129,889,1899,384150,2941496
case_011,holdout,688,192,1056,2448,606208,3964928
case_012,holdout,972,332,1555,3131,554898,2046444
case_013,holdout,1968,1234,4190,8126,2527232,8581120
case_014,holdout,35705,2961,40287,108272,9932740,193330034
case_015,holdout,1013,277,1501,3107,884614,5017738
case_016,development,17995,13,18020,43019,393218,360593104
case_017,validation,1373,385,2015,4245,643862,3039622
case_018,validation,2727,558,3717,8718,1592848,12182654
case_019,validation,647,119,854,1841,186984,1707988
case_020,holdout,7008,576,7872,18048,2359296,32243712
case_021,holdout,3920,530,4900,12820,3338240,53862400
case_022,holdout,1356,211,1705,3720,213686,2237688
case_023,holdout,1011,191,1336,2869,443444,2982630
case_024,development,5959,13,5984,14255,393218,119935528
case_025,holdout,18662,5335,26666,63990,8217600,61479936
case_026,validation,636,133,871,1849,528854,4254342
case_027,validation,1424,376,2160,5024,2039808,21381120
case_028,holdout,19584,360,20151,51822,5908608,104410368
case_029,holdout,861,252,1281,2772,430164,1549338
case_030,holdout,10070,1178,11940,30954,2394060,45791096
case_031,validation,6135,670,7365,18435,2185040,20168404
case_032,validation,827,208,1186,2469,293088,1537524
case_033,holdout,3465,604,4572,11073,2972910,24461520
case_034,holdout,3745,800,5144,11907,2280386,16713330
case_035,holdout,3857,380,4538,10712,410854,4771216
case_036,holdout,2400,1601,4802,9602,6554752,19663104
case_037,holdout,780,200,1160,2740,614400,4341760
case_038,holdout,5907,936,7649,18941,2802950,20021784
case_039,holdout,5250,716,6612,17182,4489216,30195712
case_040,holdout,3083,298,3647,8621,911238,9653756
case_041,holdout,16594,1555,19210,51024,4949980,70537108
case_042,validation,4733,612,5853,14855,2388964,24034948
case_043,holdout,9309,447,10140,25867,1431122,12920912
case_044,development,1364,72,1497,3686,975456,3018176
case_045,holdout,1651,136,1855,4253,557056,7598080
case_046,validation,992,66,1116,2708,1061472,5227712
case_047,development,13710,278,14259,37206,463942,5435148
case_048,development,1728,172,2069,4961,414790,2436332
case_049,holdout,4303,162,4609,11684,152540,4064356
case_050,development,4555,226,4969,12462,319376,3949894
case_051,development,1416,13,1441,3398,393218,29099090
case_052,holdout,1008,339,1606,3272,810204,3835682
case_053,holdout,11670,376,12377,31833,2995288,18735136
case_054,holdout,15751,382,16484,42855,1606276,14319950
case_055,holdout,1236,232,1641,3467,625810,3505018
case_056,holdout,7678,258,8157,20894,221600,5660336
case_057,holdout,865,188,1180,2563,342460,1933158
case_058,development,16575,1311,18942,52347,7667712,82182144
case_059,validation,2752,416,3520,9088,1343488,13697024
case_060,validation,5281,805,6752,16435,2099006,21107010
case_061,holdout,1115,335,1709,3505,544188,2205930
case_062,validation,19636,4363,28361,58906,13401600,56962560
case_063,holdout,7360,1635,10629,22078,5021184,21345792
case_064,development,906,66,1034,2550,37414,325708
case_065,validation,704,210,1067,2164,316202,1495780
case_066,holdout,5962,219,6362,16324,1107034,6524788
case_067,development,8804,192,9117,23246,6048128,67205888
case_068,holdout,5351,502,6260,15148,2771250,9936512
case_069,holdout,1032,42,1110,2844,126054,976780
case_070,holdout,1191,246,1630,3424,419964,2528198
case_071,holdout,741,40,816,2063,121446,769420
case_072,holdout,29666,1721,32624,88639,11103184,202538656
case_073,holdout,4836,128,5053,12814,4041088,15650048
case_074,holdout,3609,660,4833,11541,3776728,22558598
case_075,holdout,7410,274,7953,20378,1837190,12892812
case_076,holdout,32528,2548,36815,99916,4270674,100001112
case_077,holdout,4486,386,5208,12652,2141360,10168792
case_078,holdout,1024,70,1156,2812,2345088,9531648
case_079,holdout,18720,1410,21252,58980,9351168,245194752
case_080,holdout,1098,297,1674,3888,1978368,8380416
case_081,holdout,3485,1020,5185,11220,1741140,6271130
case_082,validation,4113,96,4298,11187,592006,6182092
case_083,holdout,3844,112,4037,10206,1438304,14907584
case_084,holdout,8616,5385,18309,33387,13236330,51493524
case_085,validation,19737,256,20240,53243,1689734,27000268
case_086,holdout,5274,98,5462,14290,338022,4331916
case_087,holdout,27556,1110,29569,77339,5919098,54425176
case_088,holdout,3309,268,3811,9270,1829798,6726570
case_089,validation,5120,134,5348,13628,566400,9201920
case_090,holdout,1664,80,1811,4502,2228352,6423552
case_091,holdout,31554,1943,34927,96492,6577656,104722708
case_092,validation,17608,334,18134,46392,3256928,61623488
case_093,holdout,552,349,1181,2285,714752,2418688
case_094,holdout,647,144,895,1925,526692,3055460
case_095,holdout,3696,2310,7854,14322,11355036,65465400
case_096,holdout,1198,164,1476,3200,219558,2631150
case_097,holdout,6592,896,8320,21568,5046272,90308608
case_098,holdout,1365,188,1700,3615,697994,8289012
case_099,holdout,6296,758,7610,19599,2534036,17250788
case_100,development,1394,260,1825,4014,454598,4788756
