candidate,family,paired_cells,makespan_improved_cells,makespan_tied_cells,makespan_worsened_cells,distinct_non_ties,two_sided_sign_test_p,mean_makespan_delta_cycles,median_makespan_delta_cycles,total_makespan_delta_cycles,mean_relative_makespan_improvement,mean_added_copy_delta_bytes,median_added_copy_delta_bytes,cells_with_lower_added_copy,cells_with_higher_added_copy,interpretation_guard
inherit_final_k2,recursive_final_winner_inheritance,100,0,4,96,96,2.524354896707238e-29,471983.1,64316.5,47198310,-0.3337384165444257,-1266157.7,-140622.0,64,30,paired_descriptive_test_not_multiple_testing_corrected
inherit_final_k3,recursive_final_winner_inheritance,100,3,10,87,90,1.9641662139013065e-22,256820.97,18978.5,25682097,-0.1961442925039315,1595647.7,-77972.0,59,29,paired_descriptive_test_not_multiple_testing_corrected
inherit_final_k4,recursive_final_winner_inheritance,100,14,22,64,78,8.582179419760152e-09,122216.56,6435.0,12221656,-0.10794922447339424,1512134.34,-6661.0,55,23,paired_descriptive_test_not_multiple_testing_corrected
map_locality@b0,scene_b_fixed_partition_mapping,400,3,41,356,359,1.3134409495597622e-101,1410698.9,95689.0,564279560,-1.0452317362511985,-4137712.96,-980708.0,306,52,paired_descriptive_test_not_multiple_testing_corrected
map_locality@b1,scene_b_fixed_partition_mapping,400,16,55,329,345,3.9655663169954965e-77,573677.01,52201.5,229470804,-0.5877734181285759,-1187311.885,-656924.0,278,73,paired_descriptive_test_not_multiple_testing_corrected
map_locality@b2a_w16,scene_b_fixed_partition_mapping,400,43,29,328,371,1.9120721627828334e-55,207537.61,19258.5,83015044,-0.3281377032535624,15999481.245,1621284.0,55,317,paired_descriptive_test_not_multiple_testing_corrected
map_locality@b2a_w4,scene_b_fixed_partition_mapping,400,50,68,282,332,2.129417940740888e-40,149347.1575,11316.0,59738863,-0.2505372352079653,11125351.455,0.0,156,176,paired_descriptive_test_not_multiple_testing_corrected
map_locality@b2a_w8,scene_b_fixed_partition_mapping,400,14,15,371,385,3.743363026302384e-91,221363.38,27537.5,88545352,-0.3231182904847316,15452118.245,1048494.0,98,284,paired_descriptive_test_not_multiple_testing_corrected
original@b0,stage1_fixed_partition_original_mapping,400,0,49,351,351,4.3601508761683463e-106,1410129.365,96135.5,564051746,-1.045046448041581,-4122784.21,-955803.0,298,52,paired_descriptive_test_not_multiple_testing_corrected
original@b1,stage1_fixed_partition_original_mapping,400,0,88,312,312,2.3970182936024055e-94,576983.035,53626.5,230793214,-0.587475594133034,-1141111.415,-615963.0,243,68,paired_descriptive_test_not_multiple_testing_corrected
original@b2a_w16,stage1_fixed_partition_original_mapping,400,0,87,313,313,1.1985091468012028e-94,209536.0525,20898.0,83814421,-0.35101224815213333,16349790.825,1842856.0,9,304,paired_descriptive_test_not_multiple_testing_corrected
original@b2a_w4,stage1_fixed_partition_original_mapping,400,0,134,266,266,1.6867516709168837e-80,151553.97,10449.0,60621588,-0.26360428640627187,11265683.05,0.0,102,162,paired_descriptive_test_not_multiple_testing_corrected
original@b2a_w8,stage1_fixed_partition_original_mapping,400,0,32,368,368,3.326531125006368e-111,223940.425,30090.5,89576170,-0.33935984839244576,15689622.025,1150242.0,83,283,paired_descriptive_test_not_multiple_testing_corrected
single,stage1_literal_candidate,500,0,112,388,388,3.1724272966445615e-117,1507535.382,102563.5,753767691,-1.2298711820720714,-3185001.728,-529728.0,332,46,paired_descriptive_test_not_multiple_testing_corrected
stage1_actual_winner,verified_stage1_global_fallback,500,0,500,0,0,,0.0,0.0,0,0.0,0.0,0.0,0,0,paired_descriptive_test_not_multiple_testing_corrected
