case,cores,status,winner,winner_family,makespan_cycles,added_copy_bytes,partition_added_copy_bytes,spill_added_copy_bytes,cross_task_traffic_bytes,cross_core_transfer_count,used_core_count,per_core_utilization,stage1_winner,stage1_makespan_cycles,stage1_added_copy_bytes,makespan_delta_vs_stage1,added_copy_delta_vs_stage1,spill_delta_vs_stage1,improved_vs_stage1,candidate_failures,group_wall_seconds,final_plan_hash,final_plan_file_sha256,final_official_result_json_sha256
case_001,1,success,stage1_actual_winner,verified_stage1_global_fallback,233110,0,0,0,0,0,1,"[{""active_any_pipe_cycles"":233110,""active_any_pipe_fraction"":1.0,""core_id"":0,""op_count"":1001,""pipe_busy_cycles"":{""PIPE_M"":232800,""PIPE_MTE2"":23204,""PIPE_MTE3"":23184,""PIPE_V"":30400},""pipe_utilization"":{""PIPE_M"":0.9986701557204753,""PIPE_MTE2"":0.09954098923255116,""PIPE_MTE3"":0.09945519282742053,""PIPE_V"":0.13041053579855005},""task_end"":233110,""task_span_cycles"":233110,""task_start"":0}]",single,233110,0,0,0,0,False,0,0.07256280072033405,64d6f2b297b709b570b8b55d1d194fec38860aedf63c11aaf60cc64933d51970,d5753ab9908d0b6f0e08f468483eb9df898272d3f675fa9253ec80f9a325a92e,0aeae19c09ff5834240863a0b70bb3a6fbded1fdd2c7e46182cf95cffb4ba184
case_001,2,success,stage1_actual_winner,verified_stage1_global_fallback,116868,1152,1152,0,0,0,2,"[{""active_any_pipe_cycles"":116868,""active_any_pipe_fraction"":1.0,""core_id"":0,""op_count"":501,""pipe_busy_cycles"":{""PIPE_M"":116400,""PIPE_MTE2"":18808,""PIPE_MTE3"":18768,""PIPE_V"":15200},""pipe_utilization"":{""PIPE_M"":0.9959954820823493,""PIPE_MTE2"":0.16093370298114112,""PIPE_MTE3"":0.16059143649245303,""PIPE_V"":0.13006126570147516},""task_end"":116868,""task_span_cycles"":116868,""task_start"":0},{""active_any_pipe_cycles"":116868,""active_any_pipe_fraction"":1.0,""core_id"":1,""op_count"":501,""pipe_busy_cycles"":{""PIPE_M"":116400,""PIPE_MTE2"":18808,""PIPE_MTE3"":18768,""PIPE_V"":15200},""pipe_utilization"":{""PIPE_M"":0.9959954820823493,""PIPE_MTE2"":0.16093370298114112,""PIPE_MTE3"":0.16059143649245303,""PIPE_V"":0.13006126570147516},""task_end"":116868,""task_span_cycles"":116868,""task_start"":0}]",b0,116868,1152,0,0,0,False,0,2.000513531267643,754591e148a3d3a2ea32cc0d28d6bab087e4638e1e482e9ff96726698eecdf89,5d187370156683aa1cb7e2eab372f293b6089ee4283bade0e99a6e0115066503,578cc4fdf197bf9134ec932e5091c983ddd2c00e1244b3cf21b1e0bd5fccdcf7
case_001,3,success,stage1_actual_winner,verified_stage1_global_fallback,97000,88320,88320,0,28672,7,3,"[{""active_any_pipe_cycles"":97000,""active_any_pipe_fraction"":1.0,""core_id"":0,""op_count"":446,""pipe_busy_cycles"":{""PIPE_M"":95448,""PIPE_MTE2"":19035,""PIPE_MTE3"":16767,""PIPE_V"":13528},""pipe_utilization"":{""PIPE_M"":0.984,""PIPE_MTE2"":0.19623711340206185,""PIPE_MTE3"":0.17285567010309277,""PIPE_V"":0.1394639175257732},""task_end"":97000,""task_span_cycles"":97000,""task_start"":0},{""active_any_pipe_cycles"":78324,""active_any_pipe_fraction"":0.8074639175257732,""core_id"":1,""op_count"":328,""pipe_busy_cycles"":{""PIPE_M"":77988,""PIPE_MTE2"":15309,""PIPE_MTE3"":15387,""PIPE_V"":9576},""pipe_utilization"":{""PIPE_M"":0.804,""PIPE_MTE2"":0.15782474226804125,""PIPE_MTE3"":0.15862886597938144,""PIPE_V"":0.09872164948453609},""task_end"":78324,""task_span_cycles"":78324,""task_start"":0},{""active_any_pipe_cycles"":59769,""active_any_pipe_fraction"":0.6161752577319588,""core_id"":2,""op_count"":250,""pipe_busy_cycles"":{""PIPE_M"":59364,""PIPE_MTE2"":12687,""PIPE_MTE3"":13248,""PIPE_V"":7296},""pipe_utilization"":{""PIPE_M"":0.612,""PIPE_MTE2"":0.13079381443298968,""PIPE_MTE3"":0.13657731958762886,""PIPE_V"":0.07521649484536082},""task_end"":59769,""task_span_cycles"":59769,""task_start"":0}]",b1,97000,88320,0,0,0,False,0,3.499099349603057,03cba02486de6e45a1a1d6880a6baba2a294c55fa139e849d8697e210d864306,adb1211004434e31feb212811dd0c5a9b82a036f846bef0bbe0fb5c4ad60bebb,d5600e5b353708ab81096cc836e78c49a10c731856c7e844da2f6c788c38ff9f
case_001,4,success,stage1_actual_winner,verified_stage1_global_fallback,58984,3456,3456,0,0,0,4,"[{""active_any_pipe_cycles"":58984,""active_any_pipe_fraction"":1.0,""core_id"":0,""op_count"":251,""pipe_busy_cycles"":{""PIPE_M"":58200,""PIPE_MTE2"":17468,""PIPE_MTE3"":17388,""PIPE_V"":7600},""pipe_utilization"":{""PIPE_M"":0.9867082598670825,""PIPE_MTE2"":0.29614810796148106,""PIPE_MTE3"":0.2947918079479181,""PIPE_V"":0.12884850128848502},""task_end"":58984,""task_span_cycles"":58984,""task_start"":0},{""active_any_pipe_cycles"":58984,""active_any_pipe_fraction"":1.0,""core_id"":1,""op_count"":251,""pipe_busy_cycles"":{""PIPE_M"":58200,""PIPE_MTE2"":17468,""PIPE_MTE3"":17388,""PIPE_V"":7600},""pipe_utilization"":{""PIPE_M"":0.9867082598670825,""PIPE_MTE2"":0.29614810796148106,""PIPE_MTE3"":0.2947918079479181,""PIPE_V"":0.12884850128848502},""task_end"":58984,""task_span_cycles"":58984,""task_start"":0},{""active_any_pipe_cycles"":58984,""active_any_pipe_fraction"":1.0,""core_id"":2,""op_count"":251,""pipe_busy_cycles"":{""PIPE_M"":58200,""PIPE_MTE2"":17468,""PIPE_MTE3"":17388,""PIPE_V"":7600},""pipe_utilization"":{""PIPE_M"":0.9867082598670825,""PIPE_MTE2"":0.29614810796148106,""PIPE_MTE3"":0.2947918079479181,""PIPE_V"":0.12884850128848502},""task_end"":58984,""task_span_cycles"":58984,""task_start"":0},{""active_any_pipe_cycles"":58984,""active_any_pipe_fraction"":1.0,""core_id"":3,""op_count"":251,""pipe_busy_cycles"":{""PIPE_M"":58200,""PIPE_MTE2"":17468,""PIPE_MTE3"":17388,""PIPE_V"":7600},""pipe_utilization"":{""PIPE_M"":0.9867082598670825,""PIPE_MTE2"":0.29614810796148106,""PIPE_MTE3"":0.2947918079479181,""PIPE_V"":0.12884850128848502},""task_end"":58984,""task_span_cycles"":58984,""task_start"":0}]",b0,58984,3456,0,0,0,False,0,3.7582812048494816,69ed6fec22c5127b347e92f1bbae3160474503ff610e717d7d0a958480da9800,d9f98b3190d6e10f73f1f960040c24d726f91097a241257a4b774b675a5afa70,5c4b75ffd9d1fb328cf5598c81813d52847eafd16806ace7ecc33b078758fab6
case_001,5,success,stage1_actual_winner,verified_stage1_global_fallback,47502,4608,4608,0,0,0,5,"[{""active_any_pipe_cycles"":47502,""active_any_pipe_fraction"":1.0,""core_id"":0,""op_count"":201,""pipe_busy_cycles"":{""PIPE_M"":46560,""PIPE_MTE2"":19075,""PIPE_MTE3"":18975,""PIPE_V"":6080},""pipe_utilization"":{""PIPE_M"":0.980169256031325,""PIPE_MTE2"":0.40156203949307395,""PIPE_MTE3"":0.3994568649741064,""PIPE_V"":0.12799461075323143},""task_end"":47502,""task_span_cycles"":47502,""task_start"":0},{""active_any_pipe_cycles"":47502,""active_any_pipe_fraction"":1.0,""core_id"":1,""op_count"":201,""pipe_busy_cycles"":{""PIPE_M"":46560,""PIPE_MTE2"":19075,""PIPE_MTE3"":18975,""PIPE_V"":6080},""pipe_utilization"":{""PIPE_M"":0.980169256031325,""PIPE_MTE2"":0.40156203949307395,""PIPE_MTE3"":0.3994568649741064,""PIPE_V"":0.12799461075323143},""task_end"":47502,""task_span_cycles"":47502,""task_start"":0},{""active_any_pipe_cycles"":47502,""active_any_pipe_fraction"":1.0,""core_id"":2,""op_count"":201,""pipe_busy_cycles"":{""PIPE_M"":46560,""PIPE_MTE2"":19075,""PIPE_MTE3"":18975,""PIPE_V"":6080},""pipe_utilization"":{""PIPE_M"":0.980169256031325,""PIPE_MTE2"":0.40156203949307395,""PIPE_MTE3"":0.3994568649741064,""PIPE_V"":0.12799461075323143},""task_end"":47502,""task_span_cycles"":47502,""task_start"":0},{""active_any_pipe_cycles"":47502,""active_any_pipe_fraction"":1.0,""core_id"":3,""op_count"":201,""pipe_busy_cycles"":{""PIPE_M"":46560,""PIPE_MTE2"":19075,""PIPE_MTE3"":18975,""PIPE_V"":6080},""pipe_utilization"":{""PIPE_M"":0.980169256031325,""PIPE_MTE2"":0.40156203949307395,""PIPE_MTE3"":0.3994568649741064,""PIPE_V"":0.12799461075323143},""task_end"":47502,""task_span_cycles"":47502,""task_start"":0},{""active_any_pipe_cycles"":47502,""active_any_pipe_fraction"":1.0,""core_id"":4,""op_count"":201,""pipe_busy_cycles"":{""PIPE_M"":46560,""PIPE_MTE2"":19075,""PIPE_MTE3"":18975,""PIPE_V"":6080},""pipe_utilization"":{""PIPE_M"":0.980169256031325,""PIPE_MTE2"":0.40156203949307395,""PIPE_MTE3"":0.3994568649741064,""PIPE_V"":0.12799461075323143},""task_end"":47502,""task_span_cycles"":47502,""task_start"":0}]",b0,47502,4608,0,0,0,False,0,4.532685227692127,a85f9a0ee4fab31f537220d8959e5c180b6d0d5fda043370d555c4aacfd9d3e4,ff881c15d5e1cdc1f561963490b38b8ce2bd4027e200286536c9ee4b98fb4a65,aa934828a818ad7d2563321bb9f193f5e519396a3e7401a1f3f38065bf282912
case_002,1,success,stage1_actual_winner,verified_stage1_global_fallback,261945,0,0,0,0,0,1,"[{""active_any_pipe_cycles"":261945,""active_any_pipe_fraction"":1.0,""core_id"":0,""op_count"":2197,""pipe_busy_cycles"":{""PIPE_M"":240000,""PIPE_MTE2"":20497,""PIPE_MTE3"":26,""PIPE_V"":35928},""pipe_utilization"":{""PIPE_M"":0.9162228712134227,""PIPE_MTE2"":0.07824925079692302,""PIPE_MTE3"":9.925747771478746e-05,""PIPE_V"":0.13715856382064937},""task_end"":261945,""task_span_cycles"":261945,""task_start"":0}]",single,261945,0,0,0,0,False,0,0.17099315114319324,9ea2961cb0761ffab25876943b4d07b7bce76d5ae992463dcafc6a35067694e6,dddf63d4ee08a357e8b9541eeccd32b08633fec4729541de8e48c5ce1f422907,4c72f4183bfc89cab9c6374c3db57791e77ccb36f34dc9043d81b0f5c197238e
case_002,2,success,stage1_actual_winner,verified_stage1_global_fallback,131496,3472896,2836992,635904,960000,625,2,"[{""active_any_pipe_cycles"":129198,""active_any_pipe_fraction"":0.9825241832451177,""core_id"":0,""op_count"":1891,""pipe_busy_cycles"":{""PIPE_M"":120000,""PIPE_MTE2"":65448,""PIPE_MTE3"":22833,""PIPE_V"":17928},""pipe_utilization"":{""PIPE_M"":0.9125752874612155,""PIPE_MTE2"":0.49771856178134694,""PIPE_MTE3"":0.1736402628216828,""PIPE_V"":0.1363387479467056},""task_end"":130666,""task_span_cycles"":130666,""task_start"":0},{""active_any_pipe_cycles"":129670,""active_any_pipe_fraction"":0.9861136460424652,""core_id"":1,""op_count"":1893,""pipe_busy_cycles"":{""PIPE_M"":120000,""PIPE_MTE2"":64988,""PIPE_MTE3"":23205,""PIPE_V"":18000},""pipe_utilization"":{""PIPE_M"":0.9125752874612155,""PIPE_MTE2"":0.49422035651274565,""PIPE_MTE3"":0.17646924621281257,""PIPE_V"":0.13688629311918232},""task_end"":131496,""task_span_cycles"":131496,""task_start"":0}]",b2a_w16,131496,3472896,0,0,0,False,0,5.933463281020522,f16eea639343bc13a240776360245932e2d151c7143d8e4c8409a26c15e645ba,90bb1313339eccc690fcd5714d3353e14de5a7696e1534128aac92a51697ba86,534eaf500c119aa620c3dbbe46a8823f9e776fe8ff42a88925152c715da0f81e
case_002,3,success,stage1_actual_winner,verified_stage1_global_fallback,104557,4414464,4414464,0,1290240,840,3,"[{""active_any_pipe_cycles"":102382,""active_any_pipe_fraction"":0.979197949443844,""core_id"":0,""op_count"":1406,""pipe_busy_cycles"":{""PIPE_M"":80700,""PIPE_MTE2"":87251,""PIPE_MTE3"":35966,""PIPE_V"":11664},""pipe_utilization"":{""PIPE_M"":0.7718278068422009,""PIPE_MTE2"":0.8344826267012252,""PIPE_MTE3"":0.3439846208288302,""PIPE_V"":0.11155637594804747},""task_end"":103367,""task_span_cycles"":103367,""task_start"":0},{""active_any_pipe_cycles"":102452,""active_any_pipe_fraction"":0.9798674407261111,""core_id"":1,""op_count"":1423,""pipe_busy_cycles"":{""PIPE_M"":79500,""PIPE_MTE2"":88957,""PIPE_MTE3"":36466,""PIPE_V"":12024},""pipe_utilization"":{""PIPE_M"":0.7603508134319079,""PIPE_MTE2"":0.8507990856661917,""PIPE_MTE3"":0.3487667014164523,""PIPE_V"":0.11499947397113536},""task_end"":103933,""task_span_cycles"":103933,""task_start"":0},{""active_any_pipe_cycles"":103041,""active_any_pipe_fraction"":0.9855007316583299,""core_id"":2,""op_count"":1446,""pipe_busy_cycles"":{""PIPE_M"":79800,""PIPE_MTE2"":89480,""PIPE_MTE3"":36212,""PIPE_V"":12240},""pipe_utilization"":{""PIPE_M"":0.7632200617844812,""PIPE_MTE2"":0.8558011419608443,""PIPE_MTE3"":0.34633740447794026,""PIPE_V"":0.1170653327849881},""task_end"":104557,""task_span_cycles"":104557,""task_start"":0}]",b2a_w16,104557,4414464,0,0,0,False,0,9.26692640595138,f21a01460f402dc868de68b822267a859e72b6d056f4e743ee36f7edb1f10d43,31e52e15421b5388021f7d7d7e025635964ee51826a35cb702d3c31d157d2866,3fd2d9da7319da45837dc0948a11e37ba8bcd1564d785b3a05fe79811635a8cc
case_002,4,success,map_locality@b2a_w16,scene_b_fixed_partition_mapping,78080,3105792,3105792,0,866304,564,4,"[{""active_any_pipe_cycles"":76508,""active_any_pipe_fraction"":0.9798668032786885,""core_id"":0,""op_count"":977,""pipe_busy_cycles"":{""PIPE_M"":60300,""PIPE_MTE2"":60664,""PIPE_MTE3"":18084,""PIPE_V"":8892},""pipe_utilization"":{""PIPE_M"":0.7722848360655737,""PIPE_MTE2"":0.7769467213114755,""PIPE_MTE3"":0.23160860655737706,""PIPE_V"":0.11388319672131147},""task_end"":76900,""task_span_cycles"":76900,""task_start"":0},{""active_any_pipe_cycles"":74245,""active_any_pipe_fraction"":0.9508837090163934,""core_id"":1,""op_count"":994,""pipe_busy_cycles"":{""PIPE_M"":59700,""PIPE_MTE2"":59226,""PIPE_MTE3"":17953,""PIPE_V"":9288},""pipe_utilization"":{""PIPE_M"":0.7646004098360656,""PIPE_MTE2"":0.7585297131147541,""PIPE_MTE3"":0.22993084016393442,""PIPE_V"":0.11895491803278689},""task_end"":78080,""task_span_cycles"":78080,""task_start"":0},{""active_any_pipe_cycles"":75709,""active_any_pipe_fraction"":0.9696337090163935,""core_id"":2,""op_count"":832,""pipe_busy_cycles"":{""PIPE_M"":60000,""PIPE_MTE2"":46680,""PIPE_MTE3"":13888,""PIPE_V"":8856},""pipe_utilization"":{""PIPE_M"":0.7684426229508197,""PIPE_MTE2"":0.5978483606557377,""PIPE_MTE3"":0.1778688524590164,""PIPE_V"":0.11342213114754099},""task_end"":77261,""task_span_cycles"":77261,""task_start"":0},{""active_any_pipe_cycles"":75228,""active_any_pipe_fraction"":0.9634733606557377,""core_id"":3,""op_count"":820,""pipe_busy_cycles"":{""PIPE_M"":60000,""PIPE_MTE2"":45059,""PIPE_MTE3"":12888,""PIPE_V"":8892},""pipe_utilization"":{""PIPE_M"":0.7684426229508197,""PIPE_MTE2"":0.5770876024590164,""PIPE_MTE3"":0.16506147540983607,""PIPE_V"":0.11388319672131147},""task_end"":77472,""task_span_cycles"":77472,""task_start"":0}]",b1,82998,219648,-4918,2886144,0,True,0,11.665089344605803,80e38620f732c78e4b36d0630e5775a28e5a85011f8d4bf4d793afbd239115bd,2cda0a27c81a092b840fcdb360ead6cc2ec3134908254126d421c50b974d26e6,cac5424f605e488c880d9d3c240a20aecd1715c7200f797c8a433a60179b0a03
case_002,5,success,stage1_actual_winner,verified_stage1_global_fallback,66241,228864,228864,0,98304,64,5,"[{""active_any_pipe_cycles"":66241,""active_any_pipe_fraction"":1.0,""core_id"":0,""op_count"":643,""pipe_busy_cycles"":{""PIPE_M"":57900,""PIPE_MTE2"":18031,""PIPE_MTE3"":136,""PIPE_V"":10728},""pipe_utilization"":{""PIPE_M"":0.874081007231171,""PIPE_MTE2"":0.2722030162588125,""PIPE_MTE3"":0.002053109101613804,""PIPE_V"":0.16195407678024185},""task_end"":66241,""task_span_cycles"":66241,""task_start"":0},{""active_any_pipe_cycles"":53487,""active_any_pipe_fraction"":0.8074606361618937,""core_id"":1,""op_count"":447,""pipe_busy_cycles"":{""PIPE_M"":48600,""PIPE_MTE2"":17978,""PIPE_MTE3"":1279,""PIPE_V"":6696},""pipe_utilization"":{""PIPE_M"":0.7336845760178742,""PIPE_MTE2"":0.27140290756480123,""PIPE_MTE3"":0.019308283389441586,""PIPE_V"":0.10108543047357377},""task_end"":53487,""task_span_cycles"":53487,""task_start"":0},{""active_any_pipe_cycles"":53487,""active_any_pipe_fraction"":0.8074606361618937,""core_id"":2,""op_count"":451,""pipe_busy_cycles"":{""PIPE_M"":48600,""PIPE_MTE2"":16676,""PIPE_MTE3"":1647,""PIPE_V"":6696},""pipe_utilization"":{""PIPE_M"":0.7336845760178742,""PIPE_MTE2"":0.2517474071949397,""PIPE_MTE3"":0.02486375507616129,""PIPE_V"":0.10108543047357377},""task_end"":53487,""task_span_cycles"":53487,""task_start"":0},{""active_any_pipe_cycles"":40433,""active_any_pipe_fraction"":0.6103923551878746,""core_id"":3,""op_count"":338,""pipe_busy_cycles"":{""PIPE_M"":36600,""PIPE_MTE2"":15096,""PIPE_MTE3"":1361,""PIPE_V"":5004},""pipe_utilization"":{""PIPE_M"":0.552527890581362,""PIPE_MTE2"":0.22789511027913226,""PIPE_MTE3"":0.020546187406591084,""PIPE_V"":0.07554233782702556},""task_end"":40433,""task_span_cycles"":40433,""task_start"":0},{""active_any_pipe_cycles"":53161,""active_any_pipe_fraction"":0.8025392128742018,""core_id"":4,""op_count"":453,""pipe_busy_cycles"":{""PIPE_M"":48300,""PIPE_MTE2"":16507,""PIPE_MTE3"":1525,""PIPE_V"":6804},""pipe_utilization"":{""PIPE_M"":0.7291556588819613,""PIPE_MTE2"":0.24919611720837548,""PIPE_MTE3"":0.023021995440890085,""PIPE_V"":0.10271584064250237},""task_end"":53161,""task_span_cycles"":53161,""task_start"":0}]",b1,66241,228864,0,0,0,False,0,15.406295517459512,0176ffc5dfa9c8192433f1f848091ec40cef73481cb1a2951cb6fec0b1621e87,7134457e6510824eaa147916e5426ab4f2ee9af2af0f95cf80aae2d3c4fef6cc,81d459c783300482982370c6506e266ea1560b58f6abf4d04902cd5032c1d844
