case,position,n_tensors,median_tensor_kib,total_tensor_mib
case_001,DDR,401,4.0,1.5635986328125
case_001,L1,401,4.0,1.5635986328125
case_001,UB,400,4.0,1.5625
case_002,DDR,399,1.5,1.16748046875
case_002,L1,1198,1.5,2.337890625
case_002,UB,998,1.5,1.4619140625
case_003,DDR,215,4.0,1.2247695922851562
case_003,L1,2745,1.0,3.6724853515625
case_003,UB,10908,0.03125,4.976909637451172
case_004,DDR,225,3.0,0.755859375
case_004,L1,447,6.0,2.056640625
case_004,UB,444,6.0,2.2763671875
case_005,DDR,96,2.25,0.31796836853027344
case_005,L1,902,1.125,1.196319580078125
case_005,UB,3300,0.046875,1.8720760345458984
case_006,DDR,173,1.125,0.5181770324707031
case_006,L1,177,1.5,0.5543212890625
case_006,UB,632,0.046875,2.464906692504883
case_007,DDR,1113,1.5,1.65234375
case_007,L1,2223,3.0,4.904296875
case_007,UB,2220,3.0,5.69091796875
case_008,DDR,540,6.0,2.5314559936523438
case_008,L1,540,6.0,4.4296875
case_008,UB,756,18.0,7.633506774902344
case_009,DDR,387,0.5,0.4723854064941406
case_009,L1,1174,0.5,0.814971923828125
case_009,UB,4815,0.03125,1.8626060485839844
case_010,DDR,129,1.125,0.36635398864746094
case_010,L1,210,2.25,0.60400390625
case_010,UB,550,1.6875,1.8348712921142578
case_011,DDR,192,4.0,0.578125
case_011,L1,864,4.0,3.203125
case_012,DDR,332,1.125,0.5291919708251953
case_012,L1,366,1.125,0.64471435546875
case_012,UB,857,0.001953125,0.7777347564697266
case_013,DDR,1234,2.0,2.41015625
case_013,L1,2956,2.0,5.7734375
case_014,DDR,2961,4.5,9.472599029541016
case_014,L1,32854,6.0,174.75496673583984
case_014,UB,4472,0.001953125,0.14632225036621094
case_015,DDR,277,0.75,0.8436336517333984
case_015,L1,302,1.125,0.841552734375
case_015,UB,922,0.03125,3.1001014709472656
case_016,DDR,13,32.0,0.3750019073486328
case_016,L1,12,32.0,0.375
case_016,UB,17995,32.0,343.1383800506592
