case,cores,graph_sha256,baseline_plan_file_sha256,final_plan_file_sha256,final_source,plan_changed,baseline_legal,final_legal,g1_no_l2_official_calls,g1_l2_official_calls,g2_official_calls,g2_candidate_cache_hits,final_no_l2_source,best_observed_one_core_no_l2_makespan,best_observed_one_core_source_requested_cores,best_observed_one_core_candidate,best_observed_one_core_plan_file_sha256,best_observed_one_core_result_file_sha256,baseline_no_l2_makespan,baseline_no_l2_added_copy_bytes,baseline_no_l2_scheduled_copy_bytes,baseline_no_l2_spill_added_copy_bytes,baseline_no_l2_partition_added_copy_bytes,baseline_no_l2_cross_task_traffic_bytes,baseline_no_l2_cross_core_transfer_count,baseline_no_l2_copy_in_hits,baseline_no_l2_copy_in_misses,baseline_no_l2_cache_hit_bytes,baseline_no_l2_cache_miss_bytes,baseline_no_l2_cache_hit_rate_bytes,baseline_l2_makespan,baseline_l2_added_copy_bytes,baseline_l2_scheduled_copy_bytes,baseline_l2_spill_added_copy_bytes,baseline_l2_partition_added_copy_bytes,baseline_l2_cross_task_traffic_bytes,baseline_l2_cross_core_transfer_count,baseline_l2_copy_in_hits,baseline_l2_copy_in_misses,baseline_l2_cache_hit_bytes,baseline_l2_cache_miss_bytes,baseline_l2_cache_hit_rate_bytes,final_no_l2_makespan,final_no_l2_added_copy_bytes,final_no_l2_scheduled_copy_bytes,final_no_l2_spill_added_copy_bytes,final_no_l2_partition_added_copy_bytes,final_no_l2_cross_task_traffic_bytes,final_no_l2_cross_core_transfer_count,final_no_l2_copy_in_hits,final_no_l2_copy_in_misses,final_no_l2_cache_hit_bytes,final_no_l2_cache_miss_bytes,final_no_l2_cache_hit_rate_bytes,final_l2_makespan,final_l2_added_copy_bytes,final_l2_scheduled_copy_bytes,final_l2_spill_added_copy_bytes,final_l2_partition_added_copy_bytes,final_l2_cross_task_traffic_bytes,final_l2_cross_core_transfer_count,final_l2_copy_in_hits,final_l2_copy_in_misses,final_l2_cache_hit_bytes,final_l2_cache_miss_bytes,final_l2_cache_hit_rate_bytes,hardware_speedup_baseline_mean_of_ratios_member,hardware_speedup_final_mean_of_ratios_member,l2_plan_tuning_speedup_mean_of_ratios_member,no_l2_plan_tuning_speedup_mean_of_ratios_member,hardware_plan_interaction_cycles,baseline_no_l2_parallel_speedup_vs_same_case_k1,baseline_l2_parallel_speedup_vs_same_case_k1,final_no_l2_parallel_speedup_vs_same_case_k1,final_l2_parallel_speedup_vs_same_case_k1,baseline_no_l2_parallel_speedup_vs_best_observed_one_core,final_no_l2_parallel_speedup_vs_best_observed_one_core
case_001,1,a634cd1151c0e918dd3a143eba421b88907f7f0334bfe6a5ca0412342307f09f,d5753ab9908d0b6f0e08f468483eb9df898272d3f675fa9253ec80f9a325a92e,d5753ab9908d0b6f0e08f468483eb9df898272d3f675fa9253ec80f9a325a92e,G1_baseline,False,True,True,0,1,0,0,G1_verified_reuse,233110,1,b0,77380f8d15430046c7ee568cbfa722c523cc6fada77e7b03f79d0cfe36f54d38,7315571fdbd63899f66c60ccb3054bcc6d0c16325769edb0f9e00059ba5b8b53,233110,0,1639552,0,0,0,0,,,,,,233110,0,1639552,0,0,0,0,0,201,0,820352,0.0,233110,0,1639552,0,0,0,0,,,,,,233110,0,1639552,0,0,0,0,0,201,0,820352,0.0,1.0,1.0,1.0,1.0,0,1.0,1.0,1.0,1.0,1.0,1.0
case_001,2,a634cd1151c0e918dd3a143eba421b88907f7f0334bfe6a5ca0412342307f09f,5d187370156683aa1cb7e2eab372f293b6089ee4283bade0e99a6e0115066503,2d5fd55a9ed026b4f931b6018dadd233e9e55b310c582366066576c2f43ffcc0,baseline,False,True,True,1,1,0,0,G1_verified_reuse,233110,1,b0,77380f8d15430046c7ee568cbfa722c523cc6fada77e7b03f79d0cfe36f54d38,7315571fdbd63899f66c60ccb3054bcc6d0c16325769edb0f9e00059ba5b8b53,116868,1152,1640704,0,1152,0,0,,,,,,116868,1152,1640704,0,1152,0,0,0,202,0,821504,0.0,116868,1152,1640704,0,1152,0,0,,,,,,116868,1152,1640704,0,1152,0,0,0,202,0,821504,0.0,1.0,1.0,1.0,1.0,0,1.9946435294520313,1.9946435294520313,1.9946435294520313,1.9946435294520313,1.9946435294520313,1.9946435294520313
case_001,3,a634cd1151c0e918dd3a143eba421b88907f7f0334bfe6a5ca0412342307f09f,adb1211004434e31feb212811dd0c5a9b82a036f846bef0bbe0fb5c4ad60bebb,0a376f9c6a995513c59e3e8fa34ec8f4ec46bda49e2df8ca20f327a75f733d6e,mapping_locality_one_move,True,True,True,1,1,1,0,new_official_evaluation,233110,1,b0,77380f8d15430046c7ee568cbfa722c523cc6fada77e7b03f79d0cfe36f54d38,7315571fdbd63899f66c60ccb3054bcc6d0c16325769edb0f9e00059ba5b8b53,97000,88320,1727872,0,88320,28672,7,,,,,,97000,88320,1727872,0,88320,28672,7,7,210,28672,851328,0.032581818181818184,95836,88320,1727872,0,88320,28672,7,,,,,,95836,88320,1727872,0,88320,28672,7,7,210,28672,851328,0.032581818181818184,1.0,1.0,1.0121457489878543,1.0121457489878543,0,2.4031958762886596,2.4031958762886596,2.4323844901707083,2.4323844901707083,2.4031958762886596,2.4323844901707083
case_001,4,a634cd1151c0e918dd3a143eba421b88907f7f0334bfe6a5ca0412342307f09f,d9f98b3190d6e10f73f1f960040c24d726f91097a241257a4b774b675a5afa70,539ce40116784eaedee2b72d66fa35cc85ac29ceea67a92b432ba2a81fc1baa1,baseline,False,True,True,1,1,0,0,G1_verified_reuse,233110,1,b0,77380f8d15430046c7ee568cbfa722c523cc6fada77e7b03f79d0cfe36f54d38,7315571fdbd63899f66c60ccb3054bcc6d0c16325769edb0f9e00059ba5b8b53,58984,3456,1643008,0,3456,0,0,,,,,,58984,3456,1643008,0,3456,0,0,0,204,0,823808,0.0,58984,3456,1643008,0,3456,0,0,,,,,,58984,3456,1643008,0,3456,0,0,0,204,0,823808,0.0,1.0,1.0,1.0,1.0,0,3.952088702020887,3.952088702020887,3.952088702020887,3.952088702020887,3.952088702020887,3.952088702020887
case_001,5,a634cd1151c0e918dd3a143eba421b88907f7f0334bfe6a5ca0412342307f09f,ff881c15d5e1cdc1f561963490b38b8ce2bd4027e200286536c9ee4b98fb4a65,2ad5d58889d346d4fcffab2d96e2759736370c761feea1ef8c7b68905ba67be7,baseline,False,True,True,1,1,0,0,G1_verified_reuse,233110,1,b0,77380f8d15430046c7ee568cbfa722c523cc6fada77e7b03f79d0cfe36f54d38,7315571fdbd63899f66c60ccb3054bcc6d0c16325769edb0f9e00059ba5b8b53,47502,4608,1644160,0,4608,0,0,,,,,,47502,4608,1644160,0,4608,0,0,0,205,0,824960,0.0,47502,4608,1644160,0,4608,0,0,,,,,,47502,4608,1644160,0,4608,0,0,0,205,0,824960,0.0,1.0,1.0,1.0,1.0,0,4.9073723211654245,4.9073723211654245,4.9073723211654245,4.9073723211654245,4.9073723211654245,4.9073723211654245
case_002,1,578fceeb9f66a3c083b9f27d8464cf75c1e7602cbc7290920c02aa1aef7ca352,dddf63d4ee08a357e8b9541eeccd32b08633fec4729541de8e48c5ce1f422907,dddf63d4ee08a357e8b9541eeccd32b08633fec4729541de8e48c5ce1f422907,G1_baseline,False,True,True,0,1,0,0,G1_verified_reuse,251946,1,b2a_w16,4eeb1085901a68486e3a025d6864d1b08ce140018b2a8c3fe6b8ba3a3f07bed3,b11825f6240e64910d0b23c7d9d35a377b5f227fdabb6c523c731981bce0f12e,261945,0,1224192,0,0,0,0,,,,,,261945,0,1224192,0,0,0,0,0,398,0,1222656,0.0,261945,0,1224192,0,0,0,0,,,,,,261945,0,1224192,0,0,0,0,0,398,0,1222656,0.0,1.0,1.0,1.0,1.0,0,1.0,1.0,1.0,1.0,0.9618278646280708,0.9618278646280708
case_002,2,578fceeb9f66a3c083b9f27d8464cf75c1e7602cbc7290920c02aa1aef7ca352,90bb1313339eccc690fcd5714d3353e14de5a7696e1534128aac92a51697ba86,90bb1313339eccc690fcd5714d3353e14de5a7696e1534128aac92a51697ba86,baseline,False,True,True,0,1,1,0,G1_verified_reuse,251946,1,b2a_w16,4eeb1085901a68486e3a025d6864d1b08ce140018b2a8c3fe6b8ba3a3f07bed3,b11825f6240e64910d0b23c7d9d35a377b5f227fdabb6c523c731981bce0f12e,131496,3472896,4697088,635904,2836992,960000,625,,,,,,131397,3472896,4697088,635904,2836992,960000,625,148,1212,681984,3053568,0.1825657894736842,131496,3472896,4697088,635904,2836992,960000,625,,,,,,131397,3472896,4697088,635904,2836992,960000,625,148,1212,681984,3053568,0.1825657894736842,1.0007534418594033,1.0007534418594033,1.0,1.0,0,1.992037780616901,1.9935386652663303,1.992037780616901,1.9935386652663303,1.9159974447891952,1.9159974447891952
case_002,3,578fceeb9f66a3c083b9f27d8464cf75c1e7602cbc7290920c02aa1aef7ca352,31e52e15421b5388021f7d7d7e025635964ee51826a35cb702d3c31d157d2866,31e52e15421b5388021f7d7d7e025635964ee51826a35cb702d3c31d157d2866,baseline,False,True,True,0,1,1,0,G1_verified_reuse,251946,1,b2a_w16,4eeb1085901a68486e3a025d6864d1b08ce140018b2a8c3fe6b8ba3a3f07bed3,b11825f6240e64910d0b23c7d9d35a377b5f227fdabb6c523c731981bce0f12e,104557,4414464,5638656,0,4414464,1290240,840,,,,,,98390,4414464,5638656,0,4414464,1290240,840,199,1437,916992,3429888,0.2109540636042403,104557,4414464,5638656,0,4414464,1290240,840,,,,,,98390,4414464,5638656,0,4414464,1290240,840,199,1437,916992,3429888,0.2109540636042403,1.0626791340583392,1.0626791340583392,1.0,1.0,0,2.5052841990493224,2.662313243215774,2.5052841990493224,2.662313243215774,2.4096521514580562,2.4096521514580562
case_002,4,578fceeb9f66a3c083b9f27d8464cf75c1e7602cbc7290920c02aa1aef7ca352,3a815d396e7386dd146f21b72544d5a3700406dbe4da2ed32bfbc88392ec31ed,a2ff7e56a52677fe25717ae9a5c6d84b320fe31f9d444981501a6c933443f6b4,mapping_locality_one_move,True,True,True,0,1,1,0,new_official_evaluation,251946,1,b2a_w16,4eeb1085901a68486e3a025d6864d1b08ce140018b2a8c3fe6b8ba3a3f07bed3,b11825f6240e64910d0b23c7d9d35a377b5f227fdabb6c523c731981bce0f12e,82998,219648,1443840,0,219648,84480,55,,,,,,82998,219648,1443840,0,219648,84480,55,11,453,50688,1307136,0.03733031674208145,82626,198144,1422336,0,198144,73728,48,,,,,,82626,198144,1422336,0,198144,73728,48,11,446,50688,1296384,0.037628278221208664,1.0,1.0,1.0045022147992158,1.0045022147992158,0,3.156039904576014,3.156039904576014,3.1702490741413114,3.1702490741413114,3.035567122099328,3.0492338973204562
case_002,5,578fceeb9f66a3c083b9f27d8464cf75c1e7602cbc7290920c02aa1aef7ca352,7134457e6510824eaa147916e5426ab4f2ee9af2af0f95cf80aae2d3c4fef6cc,3bb6103b555399ca3a2a5806eac8d4d7e916da86c0992a72966bfb8c35021dd4,baseline,True,True,True,0,1,2,0,new_official_evaluation,251946,1,b2a_w16,4eeb1085901a68486e3a025d6864d1b08ce140018b2a8c3fe6b8ba3a3f07bed3,b11825f6240e64910d0b23c7d9d35a377b5f227fdabb6c523c731981bce0f12e,66241,228864,1453056,0,228864,98304,64,,,,,,66241,228864,1453056,0,228864,98304,64,7,462,32256,1320960,0.02383654937570942,66241,228864,1453056,0,228864,98304,64,,,,,,66241,228864,1453056,0,228864,98304,64,7,462,32256,1320960,0.02383654937570942,1.0,1.0,1.0,1.0,0,3.954423997222264,3.954423997222264,3.954423997222264,3.954423997222264,3.8034751890822904,3.8034751890822904
