case,cores,method,status,makespan_cycles,added_copy_bytes,partition_added_copy_bytes,spill_added_copy_bytes,spill_share_of_added,spill_share_of_scheduled,cross_task_traffic_bytes,cross_core_transfer_count,used_core_count,runtime_seconds,plan_provenance,frozen_signature_match,error
case_001,2,single,success,233110,0,0,0,0.0,0.0,0,0,1,0.14835789997596294,existing_problem1_candidate,True,
case_001,2,b0,success,116868,1152,1152,0,0.0,0.0,0,0,2,0.13734800001839176,existing_problem1_candidate,True,
case_001,2,b1,success,116868,1152,1152,0,0.0,0.0,0,0,2,0.12157229997683316,existing_problem1_candidate,True,
case_001,2,b2a_w4,success,149436,1729664,1152,1728512,0.9993339746910382,0.5130309247017704,0,0,2,0.17368929996155202,existing_problem1_candidate,True,
case_001,2,b2a_w8,success,149436,1729664,1152,1728512,0.9993339746910382,0.5130309247017704,0,0,2,0.1735892000142485,existing_problem1_candidate,True,
case_001,2,b2a_w16,success,149436,1729664,1152,1728512,0.9993339746910382,0.5130309247017704,0,0,2,0.17083429999183863,existing_problem1_candidate,True,
case_001,4,single,success,233110,0,0,0,0.0,0.0,0,0,1,0.13871160004055128,existing_problem1_candidate,True,
case_001,4,b0,success,58984,3456,3456,0,0.0,0.0,0,0,4,0.11658019997412339,existing_problem1_candidate,True,
case_001,4,b1,success,73253,138624,138624,0,0.0,0.0,45056,11,4,0.12488170003052801,existing_problem1_candidate,True,
case_001,4,b2a_w4,success,78028,626048,3456,622592,0.9944796565119608,0.27480225988700563,0,0,4,0.13063189998501912,existing_problem1_candidate,True,
case_001,4,b2a_w8,success,78028,626048,3456,622592,0.9944796565119608,0.27480225988700563,0,0,4,0.1294919000356458,existing_problem1_candidate,True,
case_001,4,b2a_w16,success,78028,626048,3456,622592,0.9944796565119608,0.27480225988700563,0,0,4,0.13329859997611493,existing_problem1_candidate,True,
case_001,5,single,success,233110,0,0,0,0.0,0.0,0,0,1,0.1427036999957636,existing_problem1_candidate,True,
case_001,5,b0,success,47502,4608,4608,0,0.0,0.0,0,0,5,0.12299490004079416,existing_problem1_candidate,True,
case_001,5,b1,success,47502,4608,4608,0,0.0,0.0,0,0,5,0.12058129999786615,existing_problem1_candidate,True,
case_001,5,b2a_w4,success,64407,373248,4608,368640,0.9876543209876543,0.18314785373608902,0,0,5,0.1240453000064008,existing_problem1_candidate,True,
case_001,5,b2a_w8,success,64407,373248,4608,368640,0.9876543209876543,0.18314785373608902,0,0,5,0.12250629998743534,existing_problem1_candidate,True,
case_001,5,b2a_w16,success,64407,373248,4608,368640,0.9876543209876543,0.18314785373608902,0,0,5,0.12172900000587106,existing_problem1_candidate,True,
