case,cores,winner,unique_candidates,evaluations,cache_hits,winner_makespan,winner_added_bytes,single_makespan,single_added_bytes,b0_makespan,b0_added_bytes,improvement_vs_single,improvement_vs_b0,total_wall_time,evaluation_time,max_memory_bytes,failed_candidates
case_093,2,b0,4,0,4,47547,114688,74205,0,47547,114688,0.35924802910855064,0.0,0.0894732,0.0,20480,
case_093,3,b1,4,0,4,33714,200704,74205,0,76636,172032,0.5456640388114008,0.5600762043948014,0.08827890000000002,0.0,20480,
case_093,4,b1,4,0,4,26594,286720,74205,0,63072,245760,0.6416144464658716,0.5783548959918823,0.0928388,0.0,20480,
case_093,5,b1,4,0,4,23720,286720,74205,0,44114,323584,0.6803449902297689,0.4623022169832706,0.09718480000000002,0.0,20480,
case_014,2,b2a_w4,6,0,6,11873679,265001472,17698626,71010720,18494888,68660032,0.32911859937601934,0.3580021138814142,65.8657643,0.0,523776,
case_014,3,b2a_w4,6,1,5,8687186,262318608,17698626,71010720,18496698,72642880,0.509160428611803,0.5303385501563577,120.89258279999999,52.3721582,321024,
case_014,4,b2a_w4,6,6,0,8237041,266032656,17698626,71010720,14947155,74682688,0.534594323875763,0.448922487255936,606.0443607999999,533.5147702000002,523776,
case_014,5,b2a_w4,6,6,0,6890740,262318608,17698626,71010720,18391574,76661056,0.6106624322136645,0.6253316872172007,566.9122229,493.0287961,238080,
case_001,2,b0,3,3,0,118572,8064,233110,0,118572,8064,0.49134743254257646,0.0,0.4379217000000608,0.2987044000001333,13440,
case_001,3,b1,4,4,0,99499,147840,233110,0,100128,98688,0.573167174295397,0.006281959092361777,0.5671575000001212,0.3882359000001543,13440,
case_001,4,b0,4,0,4,61884,115584,233110,0,61884,115584,0.7345287632448201,0.0,0.09421169999995982,0.0,13440,
case_001,5,b0,3,3,0,50628,21888,233110,0,50628,21888,0.7828149800523359,0.0,0.4556536000000051,0.29523949999997967,13440,
case_016,2,single,6,6,0,7715523,0,7715523,0,7722257,3014844,0.0,0.0008720248497298134,59.03027880000013,56.78132169999958,393216,
case_016,3,single,6,6,0,7715523,0,7715523,0,7722673,4325684,0.0,0.0009258452351925298,56.160426700000016,54.606021400000145,393216,
case_016,4,single,6,6,0,7715523,0,7715523,0,7731823,6685064,0.0,0.0021081703499937856,55.62267709999992,54.03075580000041,393216,
case_016,5,single,6,6,0,7715523,0,7715523,0,7727509,7471660,0.0,0.001551081985152007,54.89227199999982,53.29766119999999,393216,
case_048,2,b2a_w16,6,6,0,176165,650944,222220,0,223464,230154,0.20724957249572495,0.21166272867217986,1.8159725999998955,1.1499685999995108,22592,
case_048,3,b2a_w16,6,6,0,163641,651072,222220,0,224799,370620,0.2636081360813608,0.2720563703575194,1.3600689999998394,1.1315448000000288,22592,
case_048,4,b2a_w16,6,6,0,163676,651200,222220,0,222404,429324,0.26345063450634504,0.2640599989208827,1.3711350000000948,1.1440141999999014,22592,
case_048,5,b2a_w16,6,6,0,163676,651328,222220,0,223099,536816,0.26345063450634504,0.2663526057938404,1.469983700000057,1.1669493000001694,22592,
case_025,2,b1,5,5,0,2969082,20616192,4863026,0,4866152,256512,0.38945792187827083,0.38985013209616143,137.43608240000003,122.48698009999998,26112,
case_025,3,b1,5,5,0,2051388,20699136,4863026,0,2435188,411648,0.5781663515679332,0.15760590147454734,145.58875080000007,130.39361760000043,26112,
case_025,4,b1,5,5,0,1562605,20795904,4863026,0,3348942,562176,0.6786764043622222,0.533403385307957,126.06444859999988,110.43924539999989,26112,
case_025,5,b0,5,5,0,979918,694272,4863026,0,979918,694272,0.7984962449306255,0.0,139.38101429999983,122.66523480000023,35328,
case_087,2,b2a_w4,6,6,0,2242785,28326240,3974071,7902720,4076506,8901284,0.43564546280124333,0.44982664075558826,189.65922170000022,169.57548739999993,271360,
case_087,3,b2a_w4,6,6,0,1591733,28326240,3974071,7902720,4029956,10516762,0.5994704171113199,0.6050247198728721,181.03534760000002,160.9503824000003,271360,
case_087,4,b2a_w8,6,6,0,1387347,35818216,3974071,7902720,4031118,11996580,0.6509002984596903,0.6558406377585573,173.0281587999998,152.6818776999994,156864,
case_087,5,b2a_w8,6,6,0,1221168,37435656,3974071,7902720,3114782,12328560,0.6927161089975493,0.6079443119935841,168.76150320000033,148.36503250000032,155328,
case_064,2,b2a_w4,6,6,0,17926,57174,19116,0,19632,73690,0.06225151705377694,0.08689894050529748,0.6644447000003311,0.51741119999906,8480,
case_064,3,b2a_w4,6,6,0,16935,57242,19116,0,20528,93572,0.11409290646578782,0.17502922837100546,0.6577621000001272,0.5187117000000399,8480,
case_064,4,b2a_w8,6,6,0,16072,121864,19116,0,20548,120776,0.15923833437957732,0.2178314191162157,0.6858534000002692,0.5425725000004604,5152,
case_064,5,b2a_w8,6,6,0,16081,121928,19116,0,20892,145200,0.15876752458673363,0.23027953283553512,0.7029169000002184,0.5600684999994883,5152,
case_074,2,b2a_w4,6,6,0,1056450,18104624,1682239,6070280,1635041,9474180,0.3719976769056002,0.3538694136721954,8.11265000000003,6.8223752000003515,524288,
case_074,3,b2a_w4,6,6,0,693574,14942512,1682239,6070280,1640725,10657968,0.5877078108401957,0.5772758993737525,7.378498000000036,6.1014593000004425,315392,
case_074,4,b2a_w4,6,6,0,568390,14958896,1682239,6070280,1250291,11309194,0.6621229207027063,0.5453938323158368,7.866215099999863,6.513962299999548,438272,
case_074,5,b2a_w4,6,6,0,491359,14975280,1682239,6070280,1584553,12005508,0.7079136793285615,0.6899068696345279,7.6771748999999545,6.275918699999693,253952,
