case,split,cores,baseline_no_l2_makespan_cycles,baseline_l2_makespan_cycles,final_no_l2_makespan_cycles,final_l2_makespan_cycles,hardware_baseline_ratio,hardware_final_ratio,schedule_no_l2_ratio,schedule_l2_ratio,l2_strict_improvement
case_001,development,1,233110,233110,233110,233110,1.0,1.0,1.0,1.0,False
case_001,development,2,116868,116868,116868,116868,1.0,1.0,1.0,1.0,False
case_001,development,3,97000,97000,95836,95836,1.0,1.0,1.0121457489878543,1.0121457489878543,True
case_001,development,4,58984,58984,58984,58984,1.0,1.0,1.0,1.0,False
case_001,development,5,47502,47502,47502,47502,1.0,1.0,1.0,1.0,False
case_002,holdout,1,261945,261945,261945,261945,1.0,1.0,1.0,1.0,False
case_002,holdout,2,131496,131397,131496,131397,1.0007534418594033,1.0007534418594033,1.0,1.0,False
case_002,holdout,3,104557,98390,104557,98390,1.0626791340583392,1.0626791340583392,1.0,1.0,False
case_002,holdout,4,82998,82998,82626,82626,1.0,1.0,1.0045022147992158,1.0045022147992158,True
case_002,holdout,5,66241,66241,66241,66241,1.0,1.0,1.0,1.0,False
case_003,holdout,1,602212,602212,602212,602212,1.0,1.0,1.0,1.0,False
case_003,holdout,2,388594,388179,377408,377408,1.0010690944126293,1.0,1.0296390113617093,1.0285394056299813,True
case_003,holdout,3,299116,298682,299112,298678,1.0014530504014303,1.0014530698611883,1.000013372917168,1.0000133923489511,True
case_003,holdout,4,286318,283719,285820,282812,1.0091604721573106,1.0106360409034978,1.0017423553285285,1.0032070774931756,True
case_003,holdout,5,252968,250029,251552,248604,1.0117546364621703,1.0118582162797058,1.00562905482763,1.0057320075300478,True
case_004,holdout,1,392357,392357,392357,392357,1.0,1.0,1.0,1.0,False
case_004,holdout,2,216172,213361,207430,206499,1.0131748538861367,1.0045084964091835,1.0421443378489128,1.0332301851340684,True
case_004,holdout,3,143994,143994,131643,131643,1.0,1.0,1.0938219274857,1.0938219274857,True
case_004,holdout,4,113976,112070,107889,107889,1.0170072276255913,1.0,1.0564190974056669,1.0387527922216353,True
case_004,holdout,5,98907,95927,92857,87834,1.0310652892303522,1.0571874217273494,1.0651539463906867,1.0921397181046064,True
case_005,holdout,1,95618,95618,95618,95618,1.0,1.0,1.0,1.0,False
case_005,holdout,2,55096,55056,53426,53397,1.0007265329845976,1.0005431016723787,1.0312581888967918,1.0310691611888307,True
case_005,holdout,3,44970,44861,43745,43655,1.0024297273801297,1.0020616195166647,1.028003200365756,1.0276257015233077,True
case_005,holdout,4,43062,39285,42138,38972,1.096143566246659,1.081237811762291,1.0219279510180834,1.0080314071641179,True
case_005,holdout,5,43062,39285,42138,38972,1.096143566246659,1.081237811762291,1.0219279510180834,1.0080314071641179,True
case_006,holdout,1,82837,82837,82837,82837,1.0,1.0,1.0,1.0,False
case_006,holdout,2,45613,45613,45613,45613,1.0,1.0,1.0,1.0,False
case_006,holdout,3,44201,42640,44201,42640,1.036608818011257,1.036608818011257,1.0,1.0,False
case_006,holdout,4,44201,42640,44201,42640,1.036608818011257,1.036608818011257,1.0,1.0,False
case_006,holdout,5,36131,36101,36075,36075,1.0008310019113045,1.0,1.0015523215523217,1.0007207207207207,True
case_007,holdout,1,1012562,1012562,1012562,1012562,1.0,1.0,1.0,1.0,False
case_007,holdout,2,618914,618914,557898,557898,1.0,1.0,1.1093676621891457,1.1093676621891457,True
case_007,holdout,3,425650,425650,424478,424478,1.0,1.0,1.002761038263467,1.002761038263467,True
case_007,holdout,4,326138,326138,326138,326138,1.0,1.0,1.0,1.0,False
case_007,holdout,5,203834,203834,203834,203834,1.0,1.0,1.0,1.0,False
case_008,holdout,1,487605,487605,487605,487605,1.0,1.0,1.0,1.0,False
case_008,holdout,2,242226,242226,242226,242226,1.0,1.0,1.0,1.0,False
case_008,holdout,3,163359,163359,163359,163359,1.0,1.0,1.0,1.0,False
case_008,holdout,4,123060,123060,123060,123060,1.0,1.0,1.0,1.0,False
case_008,holdout,5,111071,111071,111071,111071,1.0,1.0,1.0,1.0,False
case_009,holdout,1,153261,153261,153261,153261,1.0,1.0,1.0,1.0,False
case_009,holdout,2,102725,102725,102019,102019,1.0,1.0,1.006920279555769,1.006920279555769,True
case_009,holdout,3,90370,87292,90370,87292,1.035260963203959,1.035260963203959,1.0,1.0,False
case_009,holdout,4,88702,85821,88702,85821,1.0335698721758078,1.0335698721758078,1.0,1.0,False
case_009,holdout,5,84007,81351,84007,81351,1.03264864599083,1.03264864599083,1.0,1.0,False
case_010,validation,1,86969,86969,86969,86969,1.0,1.0,1.0,1.0,False
case_010,validation,2,53794,53794,47037,46462,1.0,1.0123757048771038,1.143652869018007,1.1578063794068272,True
case_010,validation,3,41359,40646,40137,38633,1.0175417015204449,1.0389304480625372,1.030445723397364,1.0521057127326379,True
case_010,validation,4,38905,38905,38905,38905,1.0,1.0,1.0,1.0,False
case_010,validation,5,37143,37143,34757,34394,1.0,1.0105541664243765,1.0686480421210116,1.0799267314066407,True
case_011,holdout,1,184697,184697,184697,184697,1.0,1.0,1.0,1.0,False
case_011,holdout,2,92646,92646,92646,92646,1.0,1.0,1.0,1.0,False
case_011,holdout,3,79286,79286,79286,79286,1.0,1.0,1.0,1.0,False
case_011,holdout,4,46880,46880,46880,46880,1.0,1.0,1.0,1.0,False
case_011,holdout,5,46880,46880,46880,46880,1.0,1.0,1.0,1.0,False
case_012,holdout,1,59088,59088,59088,59088,1.0,1.0,1.0,1.0,False
case_012,holdout,2,34562,33084,34562,33084,1.0446741627372749,1.0446741627372749,1.0,1.0,False
case_012,holdout,3,26134,24277,26134,24277,1.0764921530666887,1.0764921530666887,1.0,1.0,False
case_012,holdout,4,24454,24447,23486,23486,1.0002863337014767,1.0,1.0412160436004427,1.0409179936983735,True
case_012,holdout,5,24454,24447,23486,23486,1.0002863337014767,1.0,1.0412160436004427,1.0409179936983735,True
case_013,holdout,1,263949,263949,263949,263949,1.0,1.0,1.0,1.0,False
case_013,holdout,2,165065,165065,165065,165065,1.0,1.0,1.0,1.0,False
case_013,holdout,3,89317,89238,89317,89238,1.0008852730899394,1.0008852730899394,1.0,1.0,False
case_013,holdout,4,83671,83671,83671,83671,1.0,1.0,1.0,1.0,False
case_013,holdout,5,67008,66721,67008,66721,1.00430149428216,1.00430149428216,1.0,1.0,False
case_014,holdout,1,17698626,17689602,17698626,17689602,1.0005101301883446,1.0005101301883446,1.0,1.0,False
case_014,holdout,2,11605741,11585088,11605741,11585088,1.0017827227553213,1.0017827227553213,1.0,1.0,False
case_014,holdout,3,8569571,8549906,8534371,8522520,1.0023000252868277,1.0013905511515373,1.0041244984545434,1.0032133688157963,True
case_014,holdout,4,7306925,7298409,7282181,7278749,1.001166829647393,1.0004715095959484,1.0033978831341874,1.0027010135945065,True
case_014,holdout,5,6514638,6507002,6330583,6322404,1.001173505094973,1.0012936534900332,1.0290739415311354,1.0291974381896507,True
case_015,holdout,1,177362,177362,177362,177362,1.0,1.0,1.0,1.0,False
case_015,holdout,2,104445,101503,104445,101503,1.0289843649941381,1.0289843649941381,1.0,1.0,False
case_015,holdout,3,84097,79841,80828,77499,1.0533059455668141,1.0429553929728126,1.0404439055772752,1.0302197447709003,True
case_015,holdout,4,67292,64234,67292,64234,1.0476071862253635,1.0476071862253635,1.0,1.0,False
case_015,holdout,5,64801,57770,64801,57770,1.1217067682187987,1.1217067682187987,1.0,1.0,False
case_016,development,1,7715523,7715523,7715523,7715523,1.0,1.0,1.0,1.0,False
case_016,development,2,7715523,7715523,7715523,7715523,1.0,1.0,1.0,1.0,False
case_016,development,3,7715523,7715523,7715523,7715523,1.0,1.0,1.0,1.0,False
case_016,development,4,7715523,7715523,7715523,7715523,1.0,1.0,1.0,1.0,False
case_016,development,5,7715523,7715523,7715523,7715523,1.0,1.0,1.0,1.0,False
case_017,validation,1,162810,162810,162810,162810,1.0,1.0,1.0,1.0,False
case_017,validation,2,87619,86701,85466,84713,1.0105881131705516,1.0088888364241615,1.0251913041443381,1.023467472524878,True
case_017,validation,3,64187,63392,64428,63386,1.0125410146390712,1.0164389612848264,0.9962593903271869,1.0000946581264,True
case_017,validation,4,61400,59221,60971,58506,1.0367943803718276,1.0421324308617919,1.007036131931574,1.0122209687895258,True
case_017,validation,5,60625,60625,60625,60440,1.0,1.003060886829914,1.0,1.003060886829914,True
case_018,validation,1,1004367,1003110,1004367,1003110,1.0012531028501361,1.0012531028501361,1.0,1.0,False
case_018,validation,2,582918,582773,582918,582773,1.0002488104287603,1.0002488104287603,1.0,1.0,False
case_018,validation,3,419178,419178,419178,419178,1.0,1.0,1.0,1.0,False
case_018,validation,4,349320,349052,345303,345022,1.000767793910363,1.0008144408182666,1.011633261222752,1.0116804145822584,True
case_018,validation,5,286518,286107,278869,278869,1.001436525495706,1.0,1.027428649294113,1.0259548390104314,True
case_019,validation,1,81144,81144,81144,81144,1.0,1.0,1.0,1.0,False
case_019,validation,2,41969,41969,41969,41969,1.0,1.0,1.0,1.0,False
case_019,validation,3,34294,34175,32272,32189,1.003482077542063,1.0025785206126316,1.0626549330689141,1.0616980956227282,True
case_019,validation,4,25339,25339,24873,24873,1.0,1.0,1.018735174687412,1.018735174687412,True
case_019,validation,5,22886,22886,21640,21640,1.0,1.0,1.0575785582255084,1.0575785582255084,True
case_020,holdout,1,532746,532746,532746,532746,1.0,1.0,1.0,1.0,False
case_020,holdout,2,266580,266580,266580,266580,1.0,1.0,1.0,1.0,False
case_020,holdout,3,177950,177950,177950,177950,1.0,1.0,1.0,1.0,False
case_020,holdout,4,133704,133704,133704,133704,1.0,1.0,1.0,1.0,False
case_020,holdout,5,133566,133566,133490,133490,1.0,1.0,1.0005693310360326,1.0005693310360326,True
case_021,holdout,1,6567937,6558837,6567937,6558837,1.0013874410966457,1.0013874410966457,1.0,1.0,False
case_021,holdout,2,3215396,3213736,3215396,3213736,1.0005165327830288,1.0005165327830288,1.0,1.0,False
case_021,holdout,3,2784961,2784961,2780463,2780463,1.0,1.0,1.0016177161861173,1.0016177161861173,True
case_021,holdout,4,1588859,1584951,1582851,1580505,1.0024656913683767,1.0014843357028291,1.0037956826005732,1.002813024950886,True
case_021,holdout,5,1271102,1271102,1253945,1253945,1.0,1.0,1.0136824182878834,1.0136824182878834,True
case_022,holdout,1,56780,56780,56780,56780,1.0,1.0,1.0,1.0,False
case_022,holdout,2,29058,28922,28864,28854,1.004702302745315,1.0003465723989742,1.0067211751662972,1.0023566923130243,True
case_022,holdout,3,22450,20431,22450,20431,1.098820419950076,1.098820419950076,1.0,1.0,False
