case,split,ops,edges,tensors,tensor_bytes_sum,ddr_tensor_bytes_sum,ddr_tensor_count,l1_tensor_count,ub_tensor_count,source_sha256
case_001,development,1001,2402,1202,4917504,1639552,401,401,400,a634cd1151c0e918dd3a143eba421b88907f7f0334bfe6a5ca0412342307f09f
case_002,holdout,2197,5392,2595,5208576,1224192,399,1198,998,578fceeb9f66a3c083b9f27d8464cf75c1e7602cbc7290920c02aa1aef7ca352
case_003,holdout,13670,36295,13868,10353812,1284264,215,2745,10908,2c80acfd37edcf811ce76b7e7b1f7194c706bd4d4aa6449e6a19e9eac1028ced
case_004,holdout,1002,2670,1116,5336064,792576,225,447,444,3e01adde3c4ad143ab3d7faabcf36d849f26b5428e7c8446a7e9f89345a55faa
case_005,holdout,4209,11187,4298,3550860,333414,96,902,3300,c2b378c882a3039e3d66bac6cbcba39317107339b6f38d5bce1b09379839799f
case_006,holdout,851,1995,982,3709238,543348,173,177,632,c68392cd599b63039669ca54360ab21b514c41285151cd69180ee9be99af1a48
case_007,holdout,4998,13326,5556,12842496,1732608,1113,2223,2220,6e786044ca1fa5d4632f8b7d03e95364da8d88f4fff5e403d3ab8153da84b518
case_008,holdout,1404,3348,1836,15303600,2654424,540,540,756,c93bb7ab5deec5112aff0cc001fbd76d001d3de5ea7463fba59b1f1ff2ba3e1d
case_009,holdout,6058,15754,6376,3302976,495332,387,1174,4815,06b73d07c450878db8f6dace8ed08e362b45f5dd6e06fb80b098f165190f222a
case_010,validation,796,1899,889,2941496,384150,129,210,550,fd0b07588473d8b2ce05fab4798808cbc7f60cf1638e05608adc3d62061b8775
case_011,holdout,880,2448,1056,3964928,606208,192,864,0,2da7df4ccc8a4eb86347f0a567aacac628e7d30ab943cd99996f2c74620d80b9
case_012,holdout,1304,3131,1555,2046444,554898,332,366,857,1a07d3a4c6d1305bec2fbdc4d106fb5c0078ec098cbf09e1b8eaa5134968e079
