case,tensor_id,pos,size_bytes
case_001,1000000000,DDR,1152
case_001,1000000001,L1,1152
case_001,1000000002,DDR,4096
case_001,1000000003,L1,4096
case_001,1000000004,L1,4096
case_001,1000000005,UB,4096
case_001,1000000006,UB,4096
case_001,1000000007,DDR,4096
case_001,1000000008,L1,4096
case_001,1000000009,L1,4096
case_001,1000000010,UB,4096
case_001,1000000011,UB,4096
case_001,1000000012,DDR,4096
case_001,1000000013,L1,4096
case_001,1000000014,L1,4096
case_001,1000000015,UB,4096
case_001,1000000016,UB,4096
case_001,1000000017,DDR,4096
case_001,1000000018,L1,4096
case_001,1000000019,L1,4096
case_001,1000000020,UB,4096
case_001,1000000021,UB,4096
case_001,1000000022,DDR,4096
case_001,1000000023,L1,4096
case_001,1000000024,L1,4096
case_001,1000000025,UB,4096
case_001,1000000026,UB,4096
case_001,1000000027,DDR,4096
case_001,1000000028,L1,4096
case_001,1000000029,L1,4096
case_001,1000000030,UB,4096
case_001,1000000031,UB,4096
case_001,1000000032,DDR,4096
case_001,1000000033,L1,4096
case_001,1000000034,L1,4096
case_001,1000000035,UB,4096
case_001,1000000036,UB,4096
case_001,1000000037,DDR,4096
case_001,1000000038,L1,4096
case_001,1000000039,L1,4096
case_001,1000000040,UB,4096
case_001,1000000041,UB,4096
case_001,1000000042,DDR,4096
case_001,1000000043,L1,4096
case_001,1000000044,L1,4096
case_001,1000000045,UB,4096
case_001,1000000046,UB,4096
case_001,1000000047,DDR,4096
case_001,1000000048,L1,4096
case_001,1000000049,L1,4096
case_001,1000000050,UB,4096
case_001,1000000051,UB,4096
case_001,1000000052,DDR,4096
case_001,1000000053,L1,4096
case_001,1000000054,L1,4096
case_001,1000000055,UB,4096
case_001,1000000056,UB,4096
case_001,1000000057,DDR,4096
case_001,1000000058,L1,4096
case_001,1000000059,L1,4096
case_001,1000000060,UB,4096
case_001,1000000061,UB,4096
case_001,1000000062,DDR,4096
case_001,1000000063,L1,4096
case_001,1000000064,L1,4096
case_001,1000000065,UB,4096
case_001,1000000066,UB,4096
case_001,1000000067,DDR,4096
case_001,1000000068,L1,4096
case_001,1000000069,L1,4096
case_001,1000000070,UB,4096
case_001,1000000071,UB,4096
case_001,1000000072,DDR,4096
case_001,1000000073,L1,4096
case_001,1000000074,L1,4096
case_001,1000000075,UB,4096
case_001,1000000076,UB,4096
case_001,1000000077,DDR,4096
case_001,1000000078,L1,4096
